feature,mean,std,median,min,max,n_splits,rank
base_TriangleCount,0.04872322867760847,0.046708238140960014,0.03592030142987704,-0.007862338635691895,0.18216679352537318,50,1
stoich_WeightedTriangles,0.044617829708846146,0.0683392815000002,0.016717416005479685,-0.06904173964655594,0.2373732693385946,50,2
base_UniquePartners,0.03455670047129163,0.031556333508938064,0.036270009441364326,-0.04752879653531018,0.11399293081870883,50,3
base_AvgNeighbourDegree,0.02033478918467849,0.022489967878137274,0.017833548871860148,-0.028091440013686568,0.09512264174890436,50,4
stoich_MedianRatio,0.018543553693654503,0.01865945684506431,0.015770552424143908,-0.022257046743739538,0.07537161803400483,50,5
stoich_AvgNeighbourDegreeStoich,0.01624434657520019,0.01755988748750511,0.011128960867997828,-0.004047706558509373,0.07265048027120229,50,6
stoich_MedComplexSize,0.015385581145884099,0.02509136172211227,0.012234429003564484,-0.036778659996901615,0.08379003694571636,50,7
protein_MedComplexNodes,0.012458723797406378,0.03593740400045709,0.022179407150177154,-0.1041045503187358,0.0687837743879873,50,8
protein_RangeComplexNodes,0.011032107741595852,0.01217776147858075,0.007326425520352184,-0.007844799171491057,0.04596185039020465,50,9
protein_RangeUniqueRatio,0.009867955552723797,0.013059390155005937,0.007011796238943807,-0.006397896581562812,0.06807143219386327,50,10
base_Degree,0.0045029937422327885,0.00879838265177034,0.0023546553376678128,-0.01508206119583061,0.026266131134498372,50,11
stoich_RangeComplexSize,0.003631431428413826,0.00868931341194262,0.0018282472445180138,-0.017024888891086408,0.03673138980375712,50,12
stoich_RangeRatio,0.003449186527485026,0.007944612574355756,0.0021239821205992935,-0.019602292987767923,0.027560882386171354,50,13
base_LocalClustCoeff,-0.002934454027465896,0.01646760254816519,0.0012323039371980912,-0.07653248762252085,0.016382497620380437,50,14
