split_index,n_train,n_test,train_ess_pct,test_ess_pct,pairwise_pr_auc,pairwise_f1,hypergraph_pr_auc,hypergraph_f1,hyper_flag_pr_auc,hyper_flag_f1,hb_graph_pr_auc,hb_graph_f1,pr_auc_diff,f1_diff,stoich_pr_auc_diff,stoich_f1_diff,annot_pr_auc_diff,value_pr_auc_diff
1,2738,573,24.10518626734843,19.720767888307154,0.35832639751260165,0.42297650130548303,0.3924672434658392,0.4727272727272727,0.42136906420443443,0.4648318042813456,0.4384982671805493,0.48148148148148145,0.08017186966794765,0.05850498017599842,0.04603102371471007,0.008754208754208737,0.028901820738595208,0.017129202976114866
2,2747,564,23.480160174736074,22.69503546099291,0.27690183243788613,0.38267148014440433,0.35061523708846065,0.4206896551724138,0.343232596641081,0.3484848484848485,0.4790914975602434,0.5612903225806452,0.20218966512235725,0.17861884243624082,0.12847626047178273,0.14060066740823135,-0.007382640447379629,0.13585890091916236
3,2741,570,22.801897117840202,25.964912280701753,0.3895630245132041,0.4382716049382716,0.46588200419117165,0.4451219512195122,0.4395705799084563,0.44376899696048633,0.5802407565310058,0.6057441253263708,0.1906777320178017,0.16747252038809918,0.11435875233983417,0.16062217410685858,-0.026311424282715323,0.1406701766225495
4,2789,522,23.485120114736464,22.60536398467433,0.401800427693423,0.46439628482972134,0.4017360492429996,0.45427728613569324,0.41458026556729843,0.4391691394658754,0.4259505075595139,0.44776119402985076,0.024150079866090912,-0.016635090799870578,0.02421445831651431,-0.006516092105842475,0.01284421632429883,0.01137024199221548
5,2801,510,23.563013209568012,22.15686274509804,0.23506654910351824,0.2929936305732484,0.29274163427318184,0.3793103448275862,0.272738053559643,0.37822349570200575,0.3143158488765472,0.4011299435028249,0.07924929977302894,0.10813631292957648,0.021574214603365338,0.021819598675238694,-0.02000358071353886,0.0415777953169042
6,2749,562,24.154237904692614,19.395017793594306,0.28945415275127234,0.36257309941520466,0.2521359439250153,0.34527687296416937,0.27081332733798,0.3782051282051282,0.27958472755457753,0.37748344370860926,-0.009869425196694814,0.014910344293404598,0.027448783629562212,0.03220657074443989,0.01867738341296471,0.008771400216597502
7,2777,534,22.830392509902772,26.02996254681648,0.40382578517639084,0.41643835616438357,0.3915834352905246,0.4250681198910082,0.36463449843244466,0.42276422764227645,0.409601678659634,0.45576407506702415,0.005775893483243144,0.03932571890264058,0.0180182433691094,0.030695955176015977,-0.02694893685807992,0.04496718022718932
8,2790,521,23.189964157706093,24.184261036468328,0.3780353925944986,0.45695364238410596,0.438778459414743,0.46920821114369504,0.4201953488429135,0.498567335243553,0.39476481867089463,0.5058823529411764,0.016729426076396048,0.04892871055707049,-0.04401364074384839,0.03667414179748141,-0.018583110571829542,-0.02543053017201885
9,2777,534,24.16276557436082,19.101123595505616,0.3431088979266274,0.37751004016064255,0.30484311541292525,0.46441947565543074,0.3601631999234326,0.46153846153846156,0.320343797336283,0.42857142857142855,-0.022765100590344423,0.051061388410786,0.01550068192335774,-0.03584804708400219,0.05532008451050735,-0.03981940258714961
10,2813,498,23.355847849271242,23.293172690763054,0.4397738294834161,0.5197368421052632,0.5603226545628021,0.5547945205479452,0.5910262127513394,0.5533333333333333,0.5616826157177862,0.5491525423728814,0.12190878623437013,0.029415700267618194,0.0013599611549841573,-0.005641978175063844,0.030703558188537317,-0.02934359703355316
11,2797,514,23.382195209152666,23.151750972762645,0.4173628848896648,0.38028169014084506,0.37037779772743235,0.41420118343195267,0.3794413462520321,0.41420118343195267,0.39399663625634435,0.4482758620689655,-0.02336624863332043,0.06799417192812046,0.023618838528912,0.034074678637012856,0.00906354852459973,0.014555290004312271
12,2785,526,23.662477558348293,21.673003802281368,0.2896092866239336,0.38636363636363635,0.2969103439157032,0.40569395017793597,0.30641998712476376,0.4,0.32742841464946304,0.3836734693877551,0.03781912802552945,-0.0026901669758812585,0.03051807073375984,-0.022020480790180874,0.009509643209060559,0.02100842752469928
13,2755,556,23.339382940108894,23.381294964028775,0.2964910434801188,0.3475609756097561,0.3043532028299678,0.33116883116883117,0.2900995362612712,0.32601880877742945,0.4699922758126577,0.5528455284552846,0.1735012323325389,0.2052845528455285,0.16563907298268987,0.2216766972864534,-0.014253666568696588,0.17989273955138646
14,2746,565,23.99854333576111,20.17699115044248,0.2850444944601489,0.3380281690140845,0.2837829954439373,0.38414634146341464,0.28064470549948384,0.4084084084084084,0.34445528686178756,0.4074074074074074,0.05941079240163866,0.06937923839332288,0.060672291417850244,0.023261065943992743,-0.003138289944453476,0.06381058136230372
15,2771,540,23.782028148682784,21.11111111111111,0.28269905441372045,0.3715170278637771,0.31114462425097766,0.4444444444444444,0.3208140367614003,0.4753623188405797,0.2953853004903699,0.47368421052631576,0.012686246076649421,0.10216718266253866,-0.01575932376060779,0.029239766081871343,0.009669412510422637,-0.025428736271030428
16,2810,501,23.274021352313166,23.75249500998004,0.597123907158954,0.4674329501915709,0.4517511796843307,0.5918367346938775,0.4517496733403331,0.5918367346938775,0.4901670906193074,0.607773851590106,-0.10695681653964662,0.1403409013985351,0.038415910934976705,0.015937116896228454,-1.5063439975926407e-06,0.0384174172789743
17,2761,550,23.397319811662438,23.09090909090909,0.3495382335020101,0.34705882352941175,0.37273002776888803,0.40978593272171254,0.3746406673255132,0.4171779141104294,0.3746843784710825,0.45768025078369906,0.025146144969072415,0.11062142725428731,0.001954350702194463,0.04789431806198652,0.0019106395566251821,4.3711145569280685e-05
18,2775,536,23.71171171171171,21.455223880597014,0.5315051770448627,0.5035971223021583,0.3558703295519999,0.5434782608695652,0.3736389016465216,0.5304659498207885,0.41252980187021876,0.5743944636678201,-0.1189753751746439,0.07079734136566185,0.056659472318218884,0.03091620279825491,0.017768572094521706,0.03889090022369718
19,2797,514,23.41794780121559,22.957198443579767,0.3008991842598949,0.36363636363636365,0.3789268185404484,0.4429065743944637,0.356198489669795,0.46464646464646464,0.3517791357594705,0.4482758620689655,0.05087995149957558,0.08463949843260188,-0.0271476827809779,0.005369287674501844,-0.022728328870653403,-0.004419353910324497
20,2787,524,22.891998564764982,25.763358778625957,0.4169191812896726,0.4809384164222874,0.47583475765454714,0.5224719101123596,0.48605530721776113,0.5072886297376094,0.46335316586377645,0.5307262569832403,0.04643398457410386,0.04978784056095287,-0.012481591790770685,0.008254346870880669,0.010220549563213999,-0.022702141353984684
21,2788,523,23.92395982783357,20.26768642447419,0.34776520764607544,0.31970260223048325,0.3745027292270669,0.4468864468864469,0.3685752612023379,0.45692883895131087,0.37499439233115495,0.45695364238410596,0.02722918468507951,0.13725104015362272,0.000491663104088047,0.010067195497659054,-0.005927468024728988,0.006419131128817035
22,2824,487,23.760623229461757,20.944558521560573,0.2284078667778855,0.19900497512437812,0.2782487071427042,0.29906542056074764,0.28148687383169646,0.2962962962962963,0.28571195136925714,0.38016528925619836,0.05730408459137165,0.18116031413182024,0.007463244226552923,0.08109986869545072,0.003238166688992239,0.004225077537560684
23,2723,588,22.47521116415718,27.380952380952383,0.41933548025426354,0.4550898203592814,0.5214795711078622,0.4405797101449275,0.5274211528736551,0.42857142857142855,0.624673283223949,0.6142506142506142,0.20533780296968546,0.1591607938913328,0.10319371211608674,0.1736709041056867,0.005941581765792847,0.0972521303502939
24,2735,576,23.91224862888483,20.65972222222222,0.26332628360775306,0.2283464566929134,0.32736371495346084,0.3153846153846154,0.3405736712332539,0.30597014925373134,0.5774987373647704,0.5337620578778135,0.31417245375701736,0.3054156011849001,0.2501350224113096,0.21837744249319813,0.013209956279793045,0.23692506613151654
25,2752,559,22.819767441860463,25.939177101967797,0.5305228058618964,0.45125348189415043,0.48993115081793254,0.5093167701863354,0.4430175520431527,0.5046153846153846,0.4138920507564306,0.512,-0.11663075510546578,0.06074651810584958,-0.07603910006150194,0.002683229813664645,-0.04691359877477985,-0.02912550128672209
26,2817,494,23.145189918352855,24.493927125506072,0.4396805687472687,0.5211267605633803,0.5025055862051718,0.5139318885448917,0.5005276490648899,0.5236593059936908,0.4451146878488182,0.5276073619631901,0.005434119101549506,0.006480601399809882,-0.05739089835635364,0.013675473418298445,-0.001977937140281938,-0.0554129612160717
27,2789,522,23.16242380781642,24.32950191570881,0.2736583479807958,0.2268041237113402,0.4482667728231558,0.3983050847457627,0.4463991857175598,0.41295546558704455,0.4317734330669812,0.5509433962264151,0.15811508508618538,0.3241392725150749,-0.01649333975617462,0.15263831148065238,-0.0018675871055959803,-0.014625752650578638
28,2776,535,24.13544668587896,19.252336448598133,0.2847092377133362,0.4589041095890411,0.4348378358236086,0.45454545454545453,0.45176135090999947,0.45267489711934156,0.44119052580526247,0.4980237154150198,0.15648128809192624,0.039119605825978676,0.006352689981653892,0.043478260869565244,0.016923515086390895,-0.010570825104737003
29,2689,622,22.98252138341391,24.919614147909968,0.3356626721054993,0.35947712418300654,0.4535833753577134,0.3893805309734513,0.4372551591148502,0.3905325443786982,0.6214712029159393,0.5714285714285714,0.28580853081043994,0.21195144724556486,0.16788782755822584,0.18204804045512007,-0.016328216242863236,0.18421604380108908
30,2757,554,24.120420747188973,19.494584837545126,0.23817699897314518,0.3194444444444444,0.3140668182663347,0.40458015267175573,0.31255307826968304,0.38910505836575876,0.3685380189308851,0.47191011235955055,0.13036101995773994,0.15246566791510613,0.05447120066455041,0.06732995968779482,-0.001513739996651664,0.055984940661202076
31,2803,508,24.117017481270068,19.094488188976378,0.38954411748336903,0.39069767441860465,0.4352894170781608,0.4819277108433735,0.4722361448287861,0.48360655737704916,0.3869719846090333,0.4897959183673469,-0.0025721328743357197,0.09909824394874228,-0.04831743246912751,0.007868207523973436,0.0369467277506253,-0.0852641602197528
32,2715,596,23.646408839779006,21.97986577181208,0.2265726598529455,0.3224043715846995,0.23255740818334203,0.3759036144578313,0.23423061102983359,0.2972972972972973,0.24868931160462848,0.358695652173913,0.02211665175168298,0.03629128058921355,0.016131903421286453,-0.0172079622839183,0.001673202846491556,0.014458700574794897
33,2789,522,23.19827895302976,24.137931034482758,0.31595713964033606,0.4067796610169492,0.34178099599157946,0.43934426229508194,0.35100163320005245,0.4495114006514658,0.3720277908807898,0.47058823529411764,0.05607065124045374,0.06380857427716846,0.030246794889210338,0.031243972999035696,0.009220637208472993,0.021026157680737345
34,2797,514,22.95316410439757,25.486381322957197,0.5688581795583557,0.45714285714285713,0.5445837416406887,0.526984126984127,0.4866418820668006,0.496551724137931,0.48826959975261797,0.5131578947368421,-0.08058857980573775,0.05601503759398502,-0.05631414188807071,-0.013826232247284853,-0.05794185957388809,0.0016277176858173759
35,2689,622,22.945332837486056,25.080385852090032,0.35696505984452004,0.3653250773993808,0.39043696013248064,0.4964871194379391,0.35082214918492316,0.47030878859857483,0.5114773684787102,0.5148063781321185,0.15451230863419013,0.1494813007327377,0.12104040834622953,0.018319258694179386,-0.03961481094755748,0.160655219293787
36,2804,507,23.074179743223965,24.85207100591716,0.38498908918334596,0.41139240506329117,0.47525941326681753,0.43859649122807015,0.4815960118477963,0.4431818181818182,0.415233261742222,0.45714285714285713,0.03024417255887607,0.04575045207956596,-0.060026151524595506,0.018546365914786977,0.006336598580978792,-0.0663627501055743
37,2803,508,23.93863717445594,20.078740157480315,0.4170583659632161,0.45535714285714285,0.5253736745469735,0.4472573839662447,0.5243283443558463,0.463519313304721,0.4833059112436898,0.45569620253164556,0.06624754528047372,0.00033905967450270635,-0.042067763303283656,0.008438818565400852,-0.0010453301911271806,-0.041022433112156476
38,2786,525,23.33094041636755,23.42857142857143,0.3766540856378959,0.40963855421686746,0.4191840740681424,0.5252525252525253,0.42118081633155285,0.5241379310344828,0.42141080297341243,0.49110320284697506,0.04475671733551656,0.0814646486301076,0.0022267289052700368,-0.03414932240555024,0.001996742263410456,0.00022998664185958084
39,2734,577,23.591806876371617,22.183708838821488,0.24034716333902087,0.17674418604651163,0.28088884826775806,0.30604982206405695,0.27051360788706347,0.3006993006993007,0.4270311044781063,0.5109034267912772,0.18668394113908546,0.33415924074476555,0.14614225621034826,0.20485360472722025,-0.010375240380694595,0.15651749659104286
40,2754,557,22.730573710965867,26.391382405745063,0.32778520219096763,0.31475409836065577,0.40523634686075277,0.4050632911392405,0.4540992185298071,0.4110429447852761,0.6418388485375516,0.5824175824175825,0.31405364634658395,0.2676634840569267,0.2366025016767988,0.17735429127834196,0.04886287166905434,0.18773963000774446
41,2797,514,23.66821594565606,21.595330739299612,0.30342292497408785,0.3146067415730337,0.31610444594884535,0.46296296296296297,0.322682953729596,0.41042345276872966,0.30985920569500386,0.4716981132075472,0.00643628072091601,0.15709137163451348,-0.006245240253841489,0.008735150244584211,0.006578507780750642,-0.01282374803459213
