split_index,n_train,n_test,train_ess_pct,test_ess_pct,pairwise_pr_auc,hypergraph_pr_auc,hyper_flag_pr_auc,hb_graph_pr_auc
1,2738,573,24.10518626734843,19.720767888307154,0.35832639751260165,0.3924672434658392,0.42136906420443443,0.4384982671805493
2,2747,564,23.480160174736074,22.69503546099291,0.27690183243788613,0.35061523708846065,0.343232596641081,0.4790914975602434
3,2741,570,22.801897117840202,25.964912280701753,0.3895630245132041,0.46588200419117165,0.4395705799084563,0.5802407565310058
4,2789,522,23.485120114736464,22.60536398467433,0.401800427693423,0.4017360492429996,0.41458026556729843,0.4259505075595139
5,2801,510,23.563013209568012,22.15686274509804,0.23506654910351824,0.29274163427318184,0.272738053559643,0.3143158488765472
6,2749,562,24.154237904692614,19.395017793594306,0.28945415275127234,0.2521359439250153,0.27081332733798,0.27958472755457753
7,2777,534,22.830392509902772,26.02996254681648,0.40382578517639084,0.3915834352905246,0.36463449843244466,0.409601678659634
8,2790,521,23.189964157706093,24.184261036468328,0.3780353925944986,0.438778459414743,0.4201953488429135,0.39476481867089463
9,2777,534,24.16276557436082,19.101123595505616,0.3431088979266274,0.30484311541292525,0.3601631999234326,0.320343797336283
10,2813,498,23.355847849271242,23.293172690763054,0.4397738294834161,0.5603226545628021,0.5910262127513394,0.5616826157177862
11,2797,514,23.382195209152666,23.151750972762645,0.4173628848896648,0.37037779772743235,0.3794413462520321,0.39399663625634435
12,2785,526,23.662477558348293,21.673003802281368,0.2896092866239336,0.2969103439157032,0.30641998712476376,0.32742841464946304
13,2755,556,23.339382940108894,23.381294964028775,0.2964910434801188,0.3043532028299678,0.2900995362612712,0.4699922758126577
14,2746,565,23.99854333576111,20.17699115044248,0.2850444944601489,0.2837829954439373,0.28064470549948384,0.34445528686178756
15,2771,540,23.782028148682784,21.11111111111111,0.28269905441372045,0.31114462425097766,0.3208140367614003,0.2953853004903699
16,2810,501,23.274021352313166,23.75249500998004,0.597123907158954,0.4517511796843307,0.4517496733403331,0.4901670906193074
17,2761,550,23.397319811662438,23.09090909090909,0.3495382335020101,0.37273002776888803,0.3746406673255132,0.3746843784710825
18,2775,536,23.71171171171171,21.455223880597014,0.5315051770448627,0.3558703295519999,0.3736389016465216,0.41252980187021876
19,2797,514,23.41794780121559,22.957198443579767,0.3008991842598949,0.3789268185404484,0.356198489669795,0.3517791357594705
20,2787,524,22.891998564764982,25.763358778625957,0.4169191812896726,0.47583475765454714,0.48605530721776113,0.46335316586377645
21,2788,523,23.92395982783357,20.26768642447419,0.34776520764607544,0.3745027292270669,0.3685752612023379,0.37499439233115495
22,2824,487,23.760623229461757,20.944558521560573,0.2284078667778855,0.2782487071427042,0.28148687383169646,0.28571195136925714
23,2723,588,22.47521116415718,27.380952380952383,0.41933548025426354,0.5214795711078622,0.5274211528736551,0.624673283223949
24,2735,576,23.91224862888483,20.65972222222222,0.26332628360775306,0.32736371495346084,0.3405736712332539,0.5774987373647704
25,2752,559,22.819767441860463,25.939177101967797,0.5305228058618964,0.48993115081793254,0.4430175520431527,0.4138920507564306
26,2817,494,23.145189918352855,24.493927125506072,0.4396805687472687,0.5025055862051718,0.5005276490648899,0.4451146878488182
