feature,mean,std,median,min,max,n_splits,rank
base_TriangleCount,0.0711946008545367,0.05247768561606844,0.06304261130435597,-0.011039774662080082,0.1662751843477394,15,1
base_AvgNeighbourDegree,0.06718247056106176,0.018327878468712526,0.06933290247533255,0.03596675685643476,0.1027164647479493,15,2
base_UniquePartners,0.0357081446001947,0.03725771553671569,0.03320231279710243,-0.02420703280757307,0.10518314799487243,15,3
protein_MedianUniqueRatio,0.02508290651816381,0.01043751011020152,0.025652464877125154,-0.0016160928774916704,0.03794188751544473,15,4
protein_RangeComplexNodes,0.01899634639298218,0.016127087380487966,0.01812920606112787,-0.004872921789362527,0.0603536375975441,15,5
protein_RangeUniqueRatio,0.014524551683090957,0.015772984367852867,0.008277388166417815,-0.004403406874158622,0.05214676578155777,15,6
base_LocalClustCoeff,0.01366536876684174,0.015481981010264474,0.008759723339573155,-0.0027762056209525874,0.05704626720144397,15,7
protein_MedComplexNodes,0.013444866290886311,0.01749154306890831,0.017111293725714093,-0.026367306976657724,0.03132514506327886,15,8
flag_HasStoich,0.010048953453775782,0.01006529006290076,0.011193155391088444,-0.013864491034849425,0.02200627144994266,15,9
base_Degree,0.005599228989566375,0.010541124140042098,0.0015067402932901319,-0.005320336235898571,0.02778568231442392,15,10
