feature,mean,std,median,min,max,n_splits,rank
base_ComponentEdgeNodeRatio,0.13774132402487263,0.034298733848849315,0.1454432720388447,0.07722958529991142,0.18279742301994556,15,1
protein_MedianUniqueRatio,0.06354295566078706,0.02726872161205791,0.0599639153198161,0.022239618736958004,0.11102988369911453,15,2
stoich_MedianRatio,0.04561415179223189,0.026923575287946096,0.041318553431407015,0.001346975693483804,0.09851671783607557,15,3
protein_MedComplexNodes,0.03911060131938725,0.026227793608010752,0.03514590017827598,-2.2452160986341506e-06,0.08288733233583989,15,4
base_KatzCentrality,0.03797020321500464,0.04106824465231355,0.03124889007175432,-0.0008931320675362286,0.15420174070535275,15,5
base_Degree,0.031015696089637612,0.030233431653918917,0.021797934143191484,-0.00015296751337305902,0.10379515457875585,15,6
stoich_AvgNeighbourDegreeStoich,0.027458404943295642,0.023504752758798392,0.02467859326676506,-0.0027715979395845636,0.07426771519815989,15,7
base_ComponentSize,0.020818720363028224,0.01703001159030593,0.019465078603019197,-0.0024698726448910803,0.05249425405170351,15,8
stoich_MedComplexSize,0.017315141846176368,0.019433510402756985,0.01801279538965102,-0.01699409812193403,0.052758271531588886,15,9
base_LocalClustCoeff,0.00848095629094013,0.011480943519191907,0.0038760589530552393,-0.004475888462938005,0.037497829367338434,15,10
base_AvgNeighbourDegree,0.008266533185143197,0.011072885887637529,0.006751053160923226,-0.004260750533555624,0.03537582881570995,15,11
stoich_WeightedTriangles,0.0075485968609653115,0.013817102620454925,0.004957305357723612,-0.01412941395715701,0.035223229338138706,15,12
base_BetweennessCentrality,0.00472885331477806,0.009674647797559539,0.004513135384588074,-0.012154482466603217,0.022934125479216715,15,13
base_UniquePartners,0.00414073372866614,0.01228026766854686,0.0031316211464531563,-0.016584356163088045,0.024202937754692743,15,14
base_TriangleCount,0.0031331923109751718,0.013485809877458496,0.002283262574579176,-0.018176694646104143,0.02462682073715395,15,15
base_EigenvectorCentrality,0.0027919247323145067,0.003534933234607629,0.0018183465765653662,-0.0016948712363780483,0.0105957590237166,15,16
protein_RangeUniqueRatio,0.0025924029268475602,0.008936521181586013,0.0016855272361245676,-0.017311574088315997,0.014999595377697062,15,17
stoich_RangeComplexSize,0.0023306070286146664,0.003975594913026539,0.003716657681804286,-0.003772494416435468,0.008198178315277605,15,18
protein_RangeComplexNodes,-0.0019282285005830552,0.0068292614288429955,-0.001818362825823222,-0.02057400056330925,0.00865274731700919,15,19
stoich_RangeRatio,-0.005815938754165025,0.008249390016251532,-0.004202766935768476,-0.027142714234900167,0.000736634381098944,15,20
