split_index,n_train,n_test,train_ess_pct,test_ess_pct,hypergraph_pr_auc,hypergraph_f1,hyper_nostoich_pr_auc,hyper_nostoich_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff,stoich_pr_auc_diff,stoich_f1_diff
1,2726,668,7.8870139398385914,8.532934131736528,0.48290707031752966,0.3651452282157676,0.46553585554960086,0.32432432432432434,0.3557656974032586,0.3024054982817869,0.12714137291427108,0.06273972993398069,0.0173712147679288,0.04082090389144327
2,2686,708,8.302308265078183,6.9209039548022595,0.3989147224243019,0.3181818181818182,0.38979932452099075,0.3283582089552239,0.26747647781160855,0.24605678233438485,0.13143824461269338,0.07212503584743332,0.009115397903311173,-0.010176390773405708
3,2718,676,7.72626931567329,9.171597633136095,0.4550643805043051,0.3831417624521073,0.4396564933317624,0.34782608695652173,0.32756635937029915,0.33217993079584773,0.12749802113400593,0.05096183165625956,0.015407887172542711,0.03531567549558556
4,2722,672,7.861866274797942,8.630952380952381,0.33978589432556067,0.3510204081632653,0.35277576998833793,0.36893203883495146,0.2836473407068161,0.2709677419354839,0.05613855361874459,0.0800526662277814,-0.012989875662777262,-0.017911630671686163
5,2736,658,7.931286549707603,8.358662613981762,0.44227293824111036,0.3769633507853403,0.45324540537945956,0.33170731707317075,0.37918555220540634,0.26625386996904027,0.06308738603570402,0.11070948081630005,-0.010972467138349207,0.045256033712169574
6,2688,706,7.886904761904762,8.498583569405099,0.5074465891997103,0.45,0.5193693141047017,0.47342995169082125,0.3043368637481193,0.3448275862068966,0.203109725451591,0.10517241379310344,-0.011922724904991355,-0.023429951690821238
7,2720,674,8.38235294117647,6.528189910979229,0.39596495153904654,0.30601092896174864,0.3970531458305243,0.33707865168539325,0.18268944534172912,0.26956521739130435,0.21327550619731742,0.036445711570444295,-0.0010881942914777731,-0.03106772272364461
8,2660,734,8.157894736842106,7.493188010899182,0.5425319461926645,0.3794466403162055,0.5064756648983907,0.3944954128440367,0.3004555446390445,0.2847222222222222,0.24207640155362004,0.0947244180939833,0.03605628129427385,-0.015048772527831211
9,2680,714,8.171641791044776,7.42296918767507,0.4729971154329855,0.28776978417266186,0.4432529993502553,0.28289473684210525,0.3288198898019301,0.2345679012345679,0.1441772256310554,0.05320188293809397,0.0297441160827302,0.004875047330556603
10,2679,715,7.950727883538635,8.251748251748252,0.35912759799065563,0.37668161434977576,0.3824080363345941,0.39603960396039606,0.29549406783155896,0.31186440677966104,0.06363353015909667,0.06481720757011472,-0.023280438343938448,-0.019357989610620296
11,2729,665,8.098204470502015,7.669172932330827,0.33922892237291846,0.3277310924369748,0.34899836740974965,0.3125,0.18149682974509723,0.2765957446808511,0.15773209262782123,0.05113534775612372,-0.009769445036831192,0.015231092436974791
12,2768,626,8.164739884393063,7.348242811501597,0.332946798743691,0.2358490566037736,0.3218135960789512,0.2336448598130841,0.2611616349015116,0.22624434389140272,0.07178516384217937,0.009604712712370872,0.011133202664739772,0.0022041967906894777
13,2769,625,8.16179126038281,7.359999999999999,0.40512380543115845,0.28679245283018867,0.3806566197541859,0.340080971659919,0.1544128845649119,0.25984251968503935,0.2507109208662466,0.02694993314514932,0.024467185676972536,-0.05328851882973035
14,2690,704,8.141263940520446,7.528409090909091,0.38366633686743357,0.28,0.3358226365185802,0.265625,0.18467068554724048,0.25680933852140075,0.1989956513201931,0.023190661478599273,0.04784370034885338,0.014375000000000027
15,2717,677,8.023555391976444,7.976366322008863,0.506362586483429,0.39805825242718446,0.49900063050616555,0.42105263157894735,0.287075748916848,0.2882882882882883,0.21928683756658102,0.10976996413889617,0.007361955977263468,-0.02299437915176289
