split_index,n_train,n_test,train_ess_pct,test_ess_pct,hypergraph_pr_auc,hypergraph_f1,hyper_nostoich_pr_auc,hyper_nostoich_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff,stoich_pr_auc_diff,stoich_f1_diff
1,2726,668,7.8870139398385914,8.532934131736528,0.4175894502218415,0.3250883392226148,0.33504533476673715,0.29285714285714287,0.09627921743721155,0.14361702127659576,0.32131023278463,0.18147131794601906,0.08254411545510437,0.03223119636547195
2,2686,708,8.302308265078183,6.9209039548022595,0.3023879304868861,0.2907488986784141,0.3133006178348464,0.28044280442804426,0.12911724438624916,0.1902654867256637,0.17327068610063695,0.10048341195275037,-0.010912687347960304,0.010306094250369824
3,2718,676,7.72626931567329,9.171597633136095,0.36566011501054996,0.33451957295373663,0.33590478787619904,0.3081967213114754,0.12386684462048596,0.21265822784810126,0.24179327039006399,0.12186134510563537,0.029755327134350917,0.026322851642261225
4,2722,672,7.861866274797942,8.630952380952381,0.310548860125173,0.3282442748091603,0.28396591774663954,0.30405405405405406,0.10399751856961424,0.15873015873015872,0.20655134155555877,0.16951411607900158,0.02658294237853348,0.02419022075510624
5,2736,658,7.931286549707603,8.358662613981762,0.39770919266902693,0.3119266055045872,0.29358822304007864,0.2785714285714286,0.11945558510737293,0.19072164948453607,0.278253607561654,0.1212049560200511,0.10412096962894829,0.03335517693315859
6,2688,706,7.886904761904762,8.498583569405099,0.42177574777461296,0.392,0.21507102574353898,0.321285140562249,0.11304736763159447,0.1957040572792363,0.3087283801430185,0.19629594272076373,0.20670472203107398,0.07071485943775102
7,2720,674,8.38235294117647,6.528189910979229,0.33460193850762776,0.28695652173913044,0.24393964320351785,0.26229508196721313,0.09972908760167173,0.1952662721893491,0.23487285090595603,0.09169024954978133,0.09066229530410991,0.024661439771917315
8,2660,734,8.157894736842106,7.493188010899182,0.34520141135495014,0.2922077922077922,0.2704775313680719,0.3050847457627119,0.10976336670790278,0.16666666666666666,0.23543804464704737,0.12554112554112554,0.07472387998687824,-0.01287695355491969
9,2680,714,8.171641791044776,7.42296918767507,0.34415823310055516,0.30434782608695654,0.3231289528417215,0.2621951219512195,0.09207746769469846,0.14634146341463414,0.25208076540585667,0.1580063626723224,0.02102928025883366,0.04215270413573702
10,2679,715,7.950727883538635,8.251748251748252,0.278635123240742,0.3448275862068966,0.2820317946390889,0.34057971014492755,0.1705187506586657,0.2204724409448819,0.10811637258207632,0.12435514526201469,-0.0033966713983468733,0.004247876061969025
11,2729,665,8.098204470502015,7.669172932330827,0.37325338291277976,0.2801556420233463,0.30700475334084615,0.2787456445993031,0.10719206888765256,0.18723404255319148,0.2660613140251272,0.09292159947015483,0.06624862957193361,0.0014099974240431856
12,2768,626,8.164739884393063,7.348242811501597,0.30902116811382735,0.22535211267605634,0.24694278245597934,0.2396694214876033,0.07673056840670628,0.12121212121212122,0.23229059970712107,0.10413999146393513,0.06207838565784801,-0.01431730881154697
13,2769,625,8.16179126038281,7.359999999999999,0.3454476100289171,0.32340425531914896,0.2374178689759577,0.30115830115830117,0.12805860308899464,0.1744186046511628,0.21738900693992247,0.14898565066798616,0.1080297410529594,0.022245954160847792
14,2690,704,8.141263940520446,7.528409090909091,0.3596985934773744,0.2222222222222222,0.37011930730410025,0.24427480916030533,0.08312152815704321,0.13043478260869565,0.27657706532033116,0.09178743961352656,-0.01042071382672588,-0.022052586938083124
15,2717,677,8.023555391976444,7.976366322008863,0.42329393325588216,0.39285714285714285,0.3541253582884361,0.33858267716535434,0.14726496730047214,0.18696883852691218,0.27602896595541004,0.20588830433023067,0.06916857496744605,0.05427446569178851
