feature,mean,std,median,min,max,n_splits,rank
stoich_MedianRatio,0.08841973251552315,0.032226552670536125,0.09916296953244756,0.019189430570862188,0.1287531173455757,15,1
base_Degree,0.07417005177160284,0.03691508569280171,0.07901688165278661,0.013779839702779528,0.12959696759329878,15,2
stoich_RangeComplexSize,0.041356355163370974,0.03372372185970996,0.04186229312098973,-0.009188624610990454,0.10788412741926548,15,3
base_UniquePartners,0.038806482185271524,0.025529273083908087,0.03943289864572884,0.006708800750025218,0.0910086055772288,15,4
protein_MedComplexNodes,0.035330028769760775,0.019254161088094718,0.0329832484245726,-0.0008412489101068566,0.07082826445981617,15,5
stoich_MedComplexSize,0.03254209581692459,0.02510275864600838,0.03814718134399552,-0.024854450358386515,0.06391105277539175,15,6
protein_RangeUniqueRatio,0.029534549436277573,0.023939853988919436,0.02533807285570283,-0.0022316313396357453,0.07905092892490014,15,7
stoich_RangeRatio,0.023746283832318294,0.03489516186824808,0.0183959027638493,-0.028756810345715665,0.10370287088158872,15,8
protein_MedianUniqueRatio,0.023294700779335147,0.02706988538538257,0.03126539630548547,-0.023950404781522196,0.06821760926729496,15,9
protein_RangeComplexNodes,-0.0016169633490123226,0.0048671788490241225,-0.0005175066061671562,-0.01207393465281873,0.00474202956132635,15,10
