feature,mean,std,median,min,max,n_splits,rank
stoich_MedianRatio,0.08611698118793724,0.038276468688166504,0.08713269604394494,0.01106156271726502,0.1552009356406337,15,1
base_Degree,0.052795219156702454,0.029524344740594826,0.05141352484315599,0.019135117752377407,0.11420196496133192,15,2
protein_MedianUniqueRatio,0.0422741245723265,0.031042899557074784,0.04198973725517542,-0.01419222248745954,0.08770291927716088,15,3
base_AvgNeighbourDegree,0.04023171457348873,0.03773427980325864,0.02735845257808093,-8.327777494876454e-05,0.097040121623434,15,4
stoich_AvgNeighbourDegreeStoich,0.03961702352239238,0.04098020520889952,0.03459041191277077,-0.01502241134756856,0.12460012243012783,15,5
stoich_MedComplexSize,0.03319387500152241,0.024351598459729378,0.0372480996568111,-0.018072933068553586,0.07075657215223842,15,6
protein_MedComplexNodes,0.03269888800050924,0.01817134930191705,0.03301328884081123,0.0027556545630052663,0.0614863531987234,15,7
base_UniquePartners,0.030117653925540503,0.023481157866298813,0.02875077083159574,-0.003325390219316654,0.08745870378158771,15,8
stoich_WeightedTriangles,0.024429409355915473,0.02040152505747687,0.018221476605653326,-0.008962432955228482,0.060072454221999506,15,9
protein_RangeUniqueRatio,0.02021008922925883,0.0353600252957754,0.014954111522798819,-0.04543775023561318,0.09768914020608102,15,10
base_TriangleCount,0.008727301764543132,0.014343142177551097,0.0075888901940453805,-0.01606711836497839,0.031035700067180778,15,11
base_LocalClustCoeff,0.003524095047943573,0.007640697623414975,0.0041228735560551125,-0.011011594744483554,0.014129130361351619,15,12
protein_RangeComplexNodes,-0.0012501285698603246,0.003965301176605245,-0.0008327986372412943,-0.014129690996911432,0.0029874129413295703,15,13
