feature,mean,std,median,min,max,n_splits,rank
stoich_MedianRatio,0.08410980419009208,0.0437584614019428,0.08428572293622212,-0.019749915456231528,0.14726137864987052,15,1
base_Degree,0.05390762760223324,0.03138549976322576,0.04524678302444192,0.006674330309056677,0.10585548310601525,15,2
stoich_AvgNeighbourDegreeStoich,0.043537654184880425,0.03688244350645968,0.04029580138617469,-0.013477658620698893,0.10914446050244328,15,3
stoich_RangeComplexSize,0.04344569599643167,0.026817758380218895,0.04230143464922446,-0.002850891617381063,0.09444669497230594,15,4
base_AvgNeighbourDegree,0.03892588567276919,0.03823644443196843,0.021581538409129512,-0.01203082057224292,0.1228996558596727,15,5
protein_MedianUniqueRatio,0.038254193480450116,0.025335312792805254,0.039759056301077914,-0.00151421149334591,0.08113720291885732,15,6
base_UniquePartners,0.03419387788103347,0.0230962462511352,0.034982884521477756,0.0015724135841907016,0.08472896882374092,15,7
stoich_MedComplexSize,0.03267844824546852,0.025318621581814915,0.040408415286169855,-0.021711685591329334,0.06554048566810602,15,8
protein_MedComplexNodes,0.0303056382174191,0.016646180071223274,0.03329581555442442,-0.0016694535052118515,0.060277029003466966,15,9
stoich_RangeRatio,0.022636068813856474,0.02475647390730437,0.022677605960742565,-0.015239502010260036,0.06305076149750374,15,10
protein_RangeUniqueRatio,0.014936415114683766,0.017169592243217624,0.009848554346264065,-0.012495828048560509,0.04646589918245597,15,11
stoich_WeightedTriangles,0.013167421817639666,0.018306543891784634,0.007357674117381812,-0.01107457417992693,0.05435576621919432,15,12
base_TriangleCount,0.008662343581917345,0.01407133710488409,0.005761715891798533,-0.01085946704332424,0.038745035670710956,15,13
base_LocalClustCoeff,0.0032801627436184933,0.01176802456988899,0.0037108418787173717,-0.023798872293285207,0.02230630570543302,15,14
protein_RangeComplexNodes,0.0005203499052480202,0.004041367170807052,-0.00043715332286763944,-0.005159020462058595,0.01255738214718775,15,15
