feature,mean,std,median,min,max,n_splits,rank
protein_MedComplexNodes,0.10445993017374613,0.026280581743191967,0.09725853136237927,0.07407893521285427,0.1667666527656268,15,1
base_BetweennessCentrality,0.09606901676583507,0.028459689559973824,0.10209841873058852,0.05499159003743559,0.14307955618338633,15,2
protein_MedianUniqueRatio,0.045476528826055095,0.036973959789722455,0.05101269414480869,-0.039326220327315656,0.11205866125120789,15,3
protein_RangeUniqueRatio,0.033515836550207755,0.022849227560523065,0.03170317174435657,-0.008830591822697959,0.08131158694819612,15,4
base_AvgNeighbourDegree,0.03165454643563387,0.01625847242387835,0.02675562471389814,0.014285176060620875,0.06987447501680191,15,5
base_EigenvectorCentrality,0.02392836378024651,0.015497986454487965,0.024218615466282584,-0.015531454047149323,0.04693255956054291,15,6
protein_RangeComplexNodes,0.0177150848327184,0.01278730090113971,0.016891923933345637,-0.0009615973504480402,0.04992311809690586,15,7
base_KatzCentrality,0.01619431491601404,0.01616658693405987,0.015393852818283343,-0.008507637914465321,0.05876193957131921,15,8
base_TriangleCount,0.012902063259254358,0.009566664733013307,0.012810454488423795,-0.0032501750961619,0.03423962483762739,15,9
base_LocalClustCoeff,0.011067948968829632,0.010619001846731356,0.009969002588851477,-0.002305047371215624,0.04083229713105587,15,10
base_Degree,0.006508268313684614,0.009938364616475038,0.007456929548333241,-0.017220235998057158,0.020112738172930678,15,11
base_ComponentSize,-0.0005920240556566023,0.020981495170107323,0.005726945495085373,-0.051288464760727195,0.026304222827779156,15,12
base_UniquePartners,-0.0007558165301264312,0.001392772837221199,-0.0007637036807778442,-0.002467867847618532,0.0019998330021525346,15,13
base_ComponentEdgeNodeRatio,-0.0044087452938851935,0.010529841612285167,-0.001524350975230393,-0.03495081288352653,0.004403640998820885,15,14
