split_index,n_train,n_test,train_ess_pct,test_ess_pct,hypergraph_pr_auc,hypergraph_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff
1,3946,1116,17.663456664977193,16.03942652329749,0.3742007217883091,0.4131944444444444,0.3121893375592696,0.3958691910499139,0.06201138422903951,0.017325253394530504
2,4101,961,17.361619117288466,17.065556711758585,0.49557753283517714,0.4823008849557522,0.4030116070393164,0.41851106639839036,0.09256592579586076,0.06378981855736182
3,4122,940,17.879670063076176,14.787234042553191,0.5045940228239228,0.5254237288135594,0.4621855951800356,0.43340857787810383,0.04240842764388725,0.09201515093545554
4,4094,968,17.635564240351734,15.909090909090908,0.5324244506777792,0.5386313465783664,0.4826834571817829,0.4351648351648352,0.04974099349599631,0.10346651141353125
5,4112,950,17.120622568093385,18.10526315789474,0.49389319760677014,0.5,0.46830246163290723,0.4606741573033708,0.02559073597386291,0.0393258426966292
6,4089,973,17.461482024944974,16.649537512846866,0.4151476935503555,0.41228070175438597,0.33830693399177547,0.38461538461538464,0.07684075955858005,0.027665317139001333
7,3951,1111,17.691723614274867,15.931593159315932,0.4402872588207232,0.44525547445255476,0.43288849598464474,0.4412811387900356,0.007398762836078487,0.003974335662519146
8,4065,997,17.958179581795818,14.643931795386159,0.47403504883110037,0.48717948717948717,0.40376682291921495,0.3901345291479821,0.07026822591188542,0.09704495803150509
9,4090,972,17.334963325183374,17.181069958847736,0.5388054477994962,0.5431034482758621,0.48522158896959716,0.45357142857142857,0.05358385882989908,0.08953201970443353
10,4083,979,17.266715650257165,17.466802860061286,0.5004005196426495,0.4879032258064516,0.4816639397136002,0.46037735849056605,0.018736579929049313,0.027525867315885577
11,4118,944,17.217095677513356,17.690677966101696,0.5658238428588814,0.47435897435897434,0.4940639379279243,0.46017699115044247,0.07175990493095713,0.014181983208531868
12,4096,966,16.9921875,18.633540372670808,0.5835098311913969,0.525691699604743,0.4968639668809103,0.47079646017699117,0.0866458643104866,0.054895239427751874
13,4167,895,17.42260619150468,16.75977653631285,0.49262063723648286,0.47139588100686497,0.4436168321170934,0.4392764857881137,0.049003805119389454,0.03211939521875129
14,4062,1000,17.79911373707533,15.299999999999999,0.5337360506316171,0.47435897435897434,0.4106600974674558,0.3953033268101761,0.12307595316416131,0.07905564754879824
15,4110,952,17.931873479318735,14.600840336134455,0.3262145244374505,0.39118457300275483,0.2919882972773798,0.3690773067331671,0.03422622716007073,0.022107266269587755
