feature,mean,std,median,min,max,n_splits,rank
base_TriangleCount,0.07113178923421769,0.053710351156461944,0.05796066354623626,0.004906915788511918,0.1982479206986733,15,1
protein_MedianUniqueRatio,0.06906038663075814,0.052874072045233,0.0668105631034072,-0.023514557076635002,0.1698239983171058,15,2
base_AvgNeighbourDegree,0.061823604671367015,0.02480098965518358,0.058803842513879635,0.014237492599564949,0.09933046113174229,15,3
stoich_WeightedTriangles,0.046977902068798295,0.048205879336764505,0.04188280633882607,-0.01244429812390765,0.15798047929199358,15,4
base_UniquePartners,0.03190257379019718,0.037177272207060144,0.01898414192773288,-0.012143589455870745,0.13672099661321738,15,5
base_Degree,0.022744221697512505,0.04595197428899112,0.002623717579675022,-0.01640218465900951,0.1399390139820166,15,6
base_KatzCentrality,0.019617491790341786,0.01832800135802943,0.01982969585654727,-0.012433242341228768,0.055346150259333135,15,7
base_EigenvectorCentrality,0.019128135124605768,0.022563773858248475,0.013215233192259446,-0.00821169986390402,0.07047515472008768,15,8
base_ComponentSize,0.016380858493687856,0.007419718294160898,0.014929702503001074,0.006355947404525853,0.03166493795115134,15,9
base_ComponentEdgeNodeRatio,0.008776941743373226,0.032685705023190834,0.01873876552612307,-0.09923780250721595,0.03374593985627429,15,10
stoich_AvgNeighbourDegreeStoich,0.008388073999397496,0.00776779027255804,0.011095997396432555,-0.004794248485536978,0.021275901776374263,15,11
protein_RangeUniqueRatio,0.008238458040443566,0.012332194779696423,0.007191297867245805,-0.0036028273325547366,0.047436847975972696,15,12
base_LocalClustCoeff,0.006280428262070345,0.005666265812698876,0.004908690003347227,-0.0027879174505347215,0.01951347087769869,15,13
protein_RangeComplexNodes,0.005501213140503212,0.008891009978190775,0.001576061701310083,-0.006911257566079976,0.028211802552769904,15,14
base_BetweennessCentrality,0.004562746409402779,0.0089002798608127,0.0024630896153937875,-0.003773930854096369,0.0325905335947639,15,15
stoich_RangeComplexSize,0.0028371890360741362,0.005406561262250311,0.003444172386826605,-0.003950692561148816,0.015008204509452294,15,16
protein_MedComplexNodes,0.002743900212588647,0.0054085634870031755,0.00230022890464181,-0.005959179228649236,0.012637048561724307,15,17
protein_AvgSubgroupSize,0.0008063452279347446,0.0022940881983555894,0.00047128643137882563,-0.003440365064262507,0.004233580215817223,15,18
stoich_MedianRatio,0.0007074918187938179,0.011839184236900698,0.002964326386212679,-0.03131288591014927,0.018721299388120206,15,19
stoich_MedComplexSize,0.0007003266830781331,0.007066197468965769,0.0032881630544609798,-0.017105450606553406,0.009682193161427488,15,20
protein_NumSubgroups,0.0002719345756485461,0.0018659813595845688,0.00031213578894484506,-0.004470725819687516,0.004046791205182398,15,21
stoich_RangeRatio,-0.0021529756728020455,0.0042348162026854385,-0.000991360537714664,-0.012604575686954677,0.0039024142174909236,15,22
