split_index,n_train,n_test,train_ess_pct,test_ess_pct,hypergraph_pr_auc,hypergraph_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff
1,2624,687,22.713414634146343,25.76419213973799,0.6585105200723104,0.5911602209944752,0.6223230777041214,0.6,0.03618744236818894,-0.008839779005524795
2,2614,697,23.756694720734505,21.8077474892396,0.4647902655198278,0.4823529411764706,0.3993195538336733,0.5410628019323671,0.06547071168615454,-0.058709860755896515
3,2629,682,22.97451502472423,24.780058651026394,0.7109222245565072,0.6252983293556086,0.42595411704835484,0.5526315789473685,0.2849681075081524,0.07266675040824011
4,2669,642,23.192206819033345,23.98753894080997,0.6343926715433392,0.5706371191135734,0.5966629058341626,0.5831062670299727,0.03772976570917663,-0.012469147916399304
5,2671,640,23.24971920628978,23.75,0.5885748561006086,0.5277044854881267,0.52489177564287,0.4971751412429379,0.06368308045773852,0.030529344245188772
6,2586,725,22.892498066511987,24.96551724137931,0.6116608801110377,0.6474820143884892,0.5834923890789699,0.5939086294416244,0.028168491032067755,0.05357338494686481
7,2651,660,23.236514522821576,23.78787878787879,0.5979889821141141,0.5095890410958904,0.6197090171320624,0.5207100591715976,-0.02172003501794828,-0.0111210180757072
8,2622,689,23.64607170099161,22.206095791001452,0.6246909715976727,0.5304136253041363,0.609035422545792,0.5766233766233766,0.015655549051880713,-0.04620975131924032
9,2585,726,24.10058027079304,20.66115702479339,0.46257654176182705,0.4921135646687697,0.4663165029668148,0.48,-0.003739961204987763,0.012113564668769727
10,2608,703,23.159509202453986,24.039829302987197,0.581498675803874,0.5348314606741573,0.5826934481146893,0.5055432372505543,-0.0011947723108152175,0.029288223423603044
11,2653,658,22.72898605352431,25.835866261398177,0.4808692135861195,0.4369230769230769,0.5289591227222371,0.5589041095890411,-0.0480899091361176,-0.12198103266596422
12,2623,688,23.82767823103317,21.511627906976745,0.5146017198171269,0.513595166163142,0.440481688354476,0.4659090909090909,0.07412003146265089,0.04768607525405116
13,2683,628,22.922102124487516,25.159235668789808,0.5755667512864053,0.5340599455040872,0.5540157068621454,0.5041551246537396,0.021551044424259924,0.029904820850347624
14,2618,693,23.682200152788386,22.07792207792208,0.5332796078154399,0.42729970326409494,0.5215415539799969,0.4601226993865031,0.011738053835443019,-0.03282299612240813
15,2625,686,23.00952380952381,24.635568513119534,0.6511802833776812,0.5656108597285068,0.6173309816199934,0.5767441860465117,0.033849301757687744,-0.0111333263180049
