feature,mean,std,median,min,max,n_splits,rank
stoich_MedianRatio,0.09020476981811115,0.030647808374717155,0.09072751840148222,0.029201748728112126,0.13692812128550386,15,1
base_ComponentEdgeNodeRatio,0.06644641639209785,0.032985831740834484,0.061507797900519946,0.024428360109247756,0.14354361057888726,15,2
base_BetweennessCentrality,0.06440065097302247,0.031360280539775735,0.058893647405538097,0.032257257101276055,0.13638980934725445,15,3
base_ComponentSize,0.031557027376154304,0.025931557677060048,0.024229479419496488,0.0003025182442885466,0.0888151071642294,15,4
stoich_MedComplexSize,0.029510103023922964,0.029560346666358383,0.019257459780815212,0.0027178277379313414,0.11051734934481297,15,5
base_EigenvectorCentrality,0.022456250882543088,0.014939984797849165,0.018858752944827438,-0.00037492766839565815,0.06396603993116268,15,6
stoich_RangeComplexSize,0.021574136444675505,0.030908356398828288,0.011665863797842646,-0.007518833704719022,0.11170260850615585,15,7
stoich_WeightedTriangles,0.01583373473760791,0.012494181793877632,0.015819280994472586,-0.012682338665073355,0.03420950723892537,15,8
stoich_AvgNeighbourDegreeStoich,0.014412086963673491,0.0279753580162326,0.0031084522890624604,-0.020406965791363762,0.08117230119926802,15,9
protein_MedianUniqueRatio,0.010481686913609515,0.019103488661431585,0.010192792949995814,-0.033393275779863806,0.043551186648899516,15,10
stoich_RangeRatio,0.010162323925975332,0.018435226879269826,0.004596259394944735,-0.015495095857143055,0.06495505130470869,15,11
protein_MedComplexNodes,0.008289024317724254,0.011703089899384981,0.003039839518148654,-0.004430581290930854,0.02994041524410542,15,12
base_LocalClustCoeff,0.006211714995676168,0.007032921972591406,0.007037284521901143,-0.005962841459355678,0.0203914896183895,15,13
base_UniquePartners,0.005065026515486335,0.00814216563621191,0.005675604981324881,-0.008651121799971424,0.021062972513659718,15,14
base_AvgNeighbourDegree,0.003923667106386057,0.013269808848046473,0.001742377526931138,-0.018796490697499484,0.034228333969037045,15,15
protein_RangeUniqueRatio,0.0029196865689547205,0.014731294667964648,0.0045360344951156486,-0.021563229068059814,0.03397820973181825,15,16
base_TriangleCount,0.002237929631833869,0.008332228358576773,0.0031660866476072415,-0.013381807221688436,0.012370280024775495,15,17
base_Degree,0.0012224617115534154,0.00830006725190005,0.0014776579626860243,-0.013461154242982953,0.017840394203512723,15,18
base_KatzCentrality,0.0011303228823719722,0.013110580700384318,0.005975958143851523,-0.017933399928115275,0.019041810938111702,15,19
protein_RangeComplexNodes,0.000731378855587463,0.0022910418236243672,1.0437159707890608e-05,-0.0019575366825184516,0.007729833333405173,15,20
