feature,mean,std,median,min,max,n_splits,rank
stoich_MedianRatio,0.0970265571165186,0.04890816062957993,0.0908336173585665,0.00752018410185559,0.2014832277991702,15,1
base_ComponentEdgeNodeRatio,0.08162744880899339,0.040850748293839174,0.08071724540646812,0.018052016431438677,0.1773418663209187,15,2
base_BetweennessCentrality,0.0742390751781585,0.03340543522253055,0.0684318713123242,0.0235959192357104,0.14101830416696895,15,3
stoich_RangeComplexSize,0.03312883082088892,0.03222223676968315,0.02252723024427937,-0.004009815541532813,0.10501123812742955,15,4
stoich_MedComplexSize,0.028666133454214805,0.021815737505673533,0.03002935654043149,-0.011201522049696854,0.07057414385156997,15,5
stoich_RangeRatio,0.02781965398675511,0.03197042243045898,0.011156881248824796,-0.005222484125942317,0.08751236492544985,15,6
base_EigenvectorCentrality,0.027676880244501167,0.020823183214540613,0.024974277215174985,-0.0005975694173142948,0.07887576096922562,15,7
stoich_AvgNeighbourDegreeStoich,0.02484216463601398,0.025647052321854255,0.028763448610354424,-0.01673955555288239,0.06002721043227843,15,8
base_ComponentSize,0.022226771768261124,0.028566034371546072,0.015516618257531567,-0.028114734682248434,0.09051150446402849,15,9
stoich_WeightedTriangles,0.014966314653215814,0.017024471441973943,0.013710159706770603,-0.022709305694773852,0.03819997753084546,15,10
protein_MedComplexNodes,0.013108361895730813,0.013712546215250242,0.014216495747879703,-0.0042391735066098805,0.03847701067593371,15,11
protein_MedianUniqueRatio,0.012222850663047603,0.025650956468884857,0.01316837183747337,-0.03383772404144372,0.050391028168075655,15,12
protein_RangeUniqueRatio,0.011122900017885453,0.01993196796932867,0.0059382805857078865,-0.024267130919607992,0.04829915723142562,15,13
base_UniquePartners,0.007902193977998056,0.012503147975276567,0.005775091389061298,-0.015015009664737086,0.028007149276819836,15,14
base_LocalClustCoeff,0.00654708685172502,0.013300739662230748,0.005771692392117162,-0.029678733703186216,0.029042149737789718,15,15
protein_RangeComplexNodes,0.001285023911968143,0.0017572058374514003,0.0009207968048035642,-0.0012559723404338475,0.005714285714285727,15,16
base_Degree,0.0009378230356001097,0.00581408177005767,-0.0004039520103040206,-0.011815358902347417,0.00900144159324488,15,17
base_TriangleCount,0.0005617629638655681,0.013175710701072757,0.0005185891409439453,-0.025312467774310187,0.014995089706128634,15,18
base_KatzCentrality,-0.001582198486687853,0.01599735433268752,0.0002958249547773795,-0.029859965332244033,0.025239499270111564,15,19
base_AvgNeighbourDegree,-0.0023288624468175553,0.013544537153212789,-0.003917580084776393,-0.028124034689085947,0.01988937071604994,15,20
