feature,mean,std,median,min,max,n_splits,rank
base_ComponentEdgeNodeRatio,0.3451114687627872,0.07468058451576576,0.3505071170033871,0.2097455751152076,0.4741772850565895,15,1
stoich_MedComplexSize,0.03638256523925714,0.016332541548019816,0.030797803989289007,0.014578099271368472,0.06346010985101762,15,2
stoich_MedianRatio,0.03437573691485465,0.048390141751696134,0.022797101015328957,-0.009722220068768567,0.18194055877203713,15,3
base_ComponentSize,0.0337678330201456,0.02244864246611321,0.03579868355862091,-0.023867748683645516,0.06776268938640442,15,4
base_TriangleCount,0.019534791503285555,0.024195104713844402,0.01529320950764479,-0.024544293302867497,0.06848874573023979,15,5
base_AvgNeighbourDegree,0.019506617880201624,0.020106205354125637,0.025047013257633043,-0.030982263847495452,0.04631226960802236,15,6
protein_MedianUniqueRatio,0.019375393638359543,0.026656521983518294,0.018281409411123377,-0.019747534238964914,0.07178525466027304,15,7
base_KatzCentrality,0.016089987425377546,0.017177372388263997,0.016412605103886153,-0.0179514259794259,0.0440207536717999,15,8
base_EigenvectorCentrality,0.014205634014804418,0.016677456932216884,0.009042584179199032,-0.0037297680859616766,0.051682832659731226,15,9
stoich_WeightedTriangles,0.013301237010572155,0.015645300702527468,0.014845098947097169,-0.023126104282005188,0.03615418375307509,15,10
base_BetweennessCentrality,0.011819839544456137,0.014548140862339111,0.010488300024866282,-0.027542182268984045,0.039378283459325356,15,11
stoich_RangeComplexSize,0.011398439046725004,0.011969659413293053,0.013624792956770604,-0.009460388299761013,0.02718671841350464,15,12
protein_RangeUniqueRatio,0.005503532584889719,0.01099801910764957,0.004032914697462309,-0.019405642468732325,0.0281963674400255,15,13
protein_MedComplexNodes,0.005494079803731355,0.008237624349737556,0.004495771760186262,-0.0025787115595210354,0.028633067675344077,15,14
base_LocalClustCoeff,0.0010702276952986411,0.012135419168270175,0.003617074859586783,-0.021437378448153865,0.018503647786460596,15,15
base_Degree,0.0010342983760448985,0.007911132689016307,0.0028380114601282034,-0.013372985038040509,0.01235588319388765,15,16
stoich_RangeRatio,0.0005026410902583042,0.0036989288828538406,0.000963214186030148,-0.007313566059594856,0.0062529216826278655,15,17
base_UniquePartners,-0.0002193232489447998,0.005790768516076257,0.0006822195384670659,-0.01303135720724249,0.008549281711181394,15,18
protein_RangeComplexNodes,-0.0005486591703289604,0.002092384934633561,-0.0001156897573164617,-0.006861992681660834,0.0022285388235894154,15,19
stoich_AvgNeighbourDegreeStoich,-0.0045101323476568304,0.012597372486215605,-0.0027879690910444397,-0.027793195989638093,0.018785374084625765,15,20
