feature,mean,std,median,min,max,n_splits,rank
base_ComponentEdgeNodeRatio,0.35144566796210114,0.08985528021071229,0.36621450374443076,0.1970687190090469,0.49332009612059224,15,1
base_ComponentSize,0.038818145556607016,0.034558599271804234,0.03225662003986675,-0.012440330113565495,0.11398159517579713,15,2
protein_MedianUniqueRatio,0.03352479151405625,0.03707370137526475,0.032282134955902916,-0.019551193582761896,0.11359345881474839,15,3
base_TriangleCount,0.02949617127603809,0.026337046123442457,0.02806452997056068,-0.007439897087160663,0.0869916980840954,15,4
base_AvgNeighbourDegree,0.027551754280908104,0.0279248733640653,0.032340148987116235,-0.046873089705287786,0.06381290892769252,15,5
base_EigenvectorCentrality,0.02504780011713652,0.016534178071039855,0.025136833527736158,0.0024047002774234215,0.051480133487081914,15,6
base_BetweennessCentrality,0.0055156637307304,0.0165225422251689,0.006660320698369871,-0.03736807600282899,0.029205651035691737,15,7
protein_MedComplexNodes,0.005063751207458959,0.011703556460456717,0.005256392530675042,-0.016824297712220448,0.026514166489892264,15,8
base_KatzCentrality,0.0021212707049137803,0.022052659123249104,0.0016264697182740762,-0.0419302354336298,0.04025399721800506,15,9
protein_RangeComplexNodes,0.0008480376440838445,0.0038606256459148536,-0.0003071484427830673,-0.002777181564388315,0.012941281995820942,15,10
protein_RangeUniqueRatio,0.0008104492135182537,0.00973832897822117,-0.001602453909447399,-0.013024690253447357,0.019467845508748284,15,11
base_LocalClustCoeff,-0.001116691757699229,0.01865783543524425,0.0024943392124289142,-0.036760558780914256,0.03789641357146699,15,12
base_Degree,-0.0013999751308765894,0.00558608850382633,-0.0004839160114415653,-0.013287046526299884,0.00611168554292022,15,13
base_UniquePartners,-0.002706467272992444,0.008641851045638384,-0.002273048035502345,-0.01868832701326504,0.013058224900193344,15,14
