feature,mean,std,median,min,max,n_splits,rank
base_Degree,0.15767134765302615,0.05285833981439701,0.15491017014323868,0.04749902615381709,0.2475703938782951,15,1
stoich_MedComplexSize,0.1066130636130309,0.04854072409627068,0.1134954195456063,0.0035966739628619767,0.1786064709009664,15,2
protein_MedianUniqueRatio,0.10376540981127308,0.03426582451815796,0.1188803364222468,0.036793936228926336,0.14341001761048416,15,3
stoich_MedianRatio,0.1013853781548279,0.04274515969438682,0.11360816785682719,0.01860847942031852,0.1732565354652446,15,4
base_UniquePartners,0.026880536343049974,0.030139582808051926,0.015309209569816457,-0.015254610075455166,0.09124602542993547,15,5
stoich_RangeComplexSize,0.026587249985636916,0.020132561504333627,0.02238874366867059,0.008014160167958783,0.0734915611389789,15,6
protein_MedComplexNodes,0.025783502318084985,0.03787472165144275,0.0020185566642932085,-0.012892864262453795,0.09120536093429377,15,7
protein_RangeUniqueRatio,0.008813373111715232,0.028275403823344026,0.0010956673955200614,-0.027262614694627263,0.08903461249248502,15,8
stoich_RangeRatio,0.0025018136313970526,0.00847064013006771,0.0003621860456349435,-0.005514560095199445,0.028187977167480303,15,9
protein_RangeComplexNodes,0.000808688500286001,0.0037922697701760887,0.00033810585022541194,-0.004812741358397899,0.011008577295603983,15,10
