split_index,n_train,n_test,train_ess_pct,test_ess_pct,hypergraph_pr_auc,hypergraph_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff
1,2726,668,7.8870139398385914,8.532934131736528,0.3969448989511955,0.30714285714285716,0.09856134891319143,0.17408123791102514,0.2983835500380041,0.13306161923183202
2,2686,708,8.302308265078183,6.9209039548022595,0.33856357920935104,0.2594594594594595,0.12858785036579648,0.18984547461368653,0.20997572884355456,0.06961398484577294
3,2718,676,7.72626931567329,9.171597633136095,0.3951102128799012,0.3161764705882353,0.1234160993803407,0.21265822784810126,0.2716941134995605,0.10351824274013402
4,2722,672,7.861866274797942,8.630952380952381,0.27122605212768236,0.32558139534883723,0.1047688909796844,0.15873015873015872,0.16645716114799797,0.1668512366186785
5,2736,658,7.931286549707603,8.358662613981762,0.35865549769581384,0.3222748815165877,0.11787052786364806,0.18811881188118812,0.2407849698321658,0.13415606963539956
6,2688,706,7.886904761904762,8.498583569405099,0.37074033861267697,0.3317972350230415,0.11183908188163336,0.19114219114219114,0.2589012567310436,0.14065504388085034
7,2720,674,8.38235294117647,6.528189910979229,0.3363443965719707,0.2909090909090909,0.09860226293862819,0.1875,0.2377421336333425,0.1034090909090909
8,2660,734,8.157894736842106,7.493188010899182,0.31022006194145074,0.2554517133956386,0.10139208312752743,0.1625441696113074,0.20882797881392332,0.09290754378433119
9,2680,714,8.171641791044776,7.42296918767507,0.44381136429046925,0.2939068100358423,0.09250266721491555,0.14634146341463414,0.3513086970755537,0.14756534662120815
10,2679,715,7.950727883538635,8.251748251748252,0.24958970802832425,0.336283185840708,0.11955400994897365,0.2183406113537118,0.13003569807935061,0.11794257448699619
11,2729,665,8.098204470502015,7.669172932330827,0.35622433426508865,0.26976744186046514,0.10793491157156897,0.18480492813141683,0.24828942269351967,0.08496251372904831
12,2768,626,8.164739884393063,7.348242811501597,0.3131413849835263,0.23115577889447236,0.07486845701207996,0.12121212121212122,0.23827292797144634,0.10994365768235115
13,2769,625,8.16179126038281,7.359999999999999,0.4079175586189634,0.33962264150943394,0.12928741048927292,0.17293233082706766,0.27863014812969045,0.16669031068236628
14,2690,704,8.141263940520446,7.528409090909091,0.3535822827211433,0.21352313167259787,0.08067946159993969,0.12641083521444696,0.27290282112120356,0.08711229645815091
15,2717,677,8.023555391976444,7.976366322008863,0.4515717406903825,0.35684647302904565,0.14534374956634122,0.1864406779661017,0.30622799112404125,0.17040579506294395
