feature,mean,std,median,min,max,n_splits,rank
base_Degree,0.18070614254145034,0.060523412290956966,0.18825687178089898,0.05893701601967283,0.2810589910294688,15,1
stoich_MedComplexSize,0.1586580770393064,0.05900216912212217,0.17552981241839036,0.023785811212323142,0.22491196595542337,15,2
protein_MedianUniqueRatio,0.1229232455645043,0.04333814787213296,0.12076848188665852,0.05336960558223407,0.19112750697742262,15,3
stoich_MedianRatio,0.10773170751745459,0.0485686674387264,0.11635167074113198,0.03008253013712094,0.20062229158806621,15,4
base_UniquePartners,0.0402856303369464,0.046916762430030824,0.03285162667496073,-0.014012265759518494,0.16607160728287343,15,5
protein_MedComplexNodes,0.027663875612062162,0.03522490199841135,0.016077877093049447,-0.012439800559393538,0.12152909526931888,15,6
protein_RangeUniqueRatio,0.011019235900659828,0.022499500553414112,0.007785480424959063,-0.01953146156934361,0.06832509645655539,15,7
stoich_RangeRatio,0.0022724167676495865,0.0065852828012415805,0.0009805380467903468,-0.010222874492745327,0.015135903781193793,15,8
protein_RangeComplexNodes,0.0016391504765140411,0.003372403874080122,2.5056453003396983e-05,-0.002897871116557732,0.008293333872839653,15,9
stoich_RangeComplexSize,0.0010521939653258584,0.006991076101100508,0.0007526640897408232,-0.018408694999783502,0.015387745765828392,15,10
