feature,mean,std,median,min,max,n_splits,rank
base_Degree,0.13790730191772288,0.057924826672948244,0.1430640268834638,0.04203577474627671,0.22129712226824827,15,1
protein_MedianUniqueRatio,0.10478989266686106,0.04879712700749711,0.1070985056398452,0.03581740041751523,0.18375042936557465,15,2
stoich_MedianRatio,0.0934446074351694,0.037137753203851556,0.10098319985301504,0.031987984227560495,0.15126705076834798,15,3
stoich_MedComplexSize,0.07865802475312715,0.03875015822173529,0.07232316150586891,0.01862348689164254,0.17709730757789238,15,4
base_AvgNeighbourDegree,0.05201955046820211,0.04161313670187896,0.0517678680379583,-0.016688707975801593,0.13798761501656123,15,5
stoich_AvgNeighbourDegreeStoich,0.037551689529624586,0.04400386692457874,0.03632026673174749,-0.032288146312369176,0.13557414260981293,15,6
stoich_WeightedTriangles,0.03510429834034078,0.03643271136609799,0.028461185982654087,-0.014883567843740519,0.12119741444286314,15,7
protein_MedComplexNodes,0.02581528819953296,0.022323864005125597,0.018458995432121934,-0.008272408920812374,0.06657312520492867,15,8
base_TriangleCount,0.022472014323881424,0.01733840435684908,0.019661000322461274,-0.0089527807587995,0.06475248780568517,15,9
base_UniquePartners,0.016338806477284043,0.018802121464463934,0.01154553679653345,-0.007425504678834338,0.07298525942604321,15,10
base_LocalClustCoeff,0.011103229339664837,0.018334890175710848,0.00974645927251852,-0.007804550858174997,0.05632375454748119,15,11
protein_RangeUniqueRatio,0.005814038153130898,0.015264592465459229,0.0015866171524313855,-0.027963064835031103,0.034629007836849954,15,12
stoich_RangeRatio,0.0008200395956457107,0.006210873902285,-0.0006765426322337398,-0.008922680310503495,0.016221842594581433,15,13
stoich_RangeComplexSize,-0.0007968961416920366,0.010619829825696892,-0.0006278888493242818,-0.02256232433394259,0.02710445568223302,15,14
protein_RangeComplexNodes,-0.002506113302894395,0.0062689105820965575,0.0003026968887682835,-0.019201099388143787,0.0041370308496049835,15,15
