split_index,n_train,n_test,train_ess_pct,test_ess_pct,hypergraph_pr_auc,hypergraph_f1,hyper_nostoich_pr_auc,hyper_nostoich_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff,stoich_pr_auc_diff,stoich_f1_diff
1,2624,687,22.713414634146343,25.76419213973799,0.6169362048086434,0.5606936416184971,0.5921050307493281,0.5544554455445545,0.5256493314845101,0.5270588235294118,0.09128687332413332,0.033634818089085305,0.024831174059315342,0.0062381960739426034
2,2614,697,23.756694720734505,21.8077474892396,0.4206702161420846,0.47953216374269003,0.42707975587120195,0.49295774647887325,0.49659670567898206,0.45614035087719296,-0.07592648953689746,0.023391812865497075,-0.006409539729117342,-0.013425582736183217
3,2629,682,22.97451502472423,24.780058651026394,0.6049175354332489,0.5804878048780487,0.5370444771213008,0.5626477541371159,0.5417558591388082,0.5461847389558233,0.0631616762944407,0.03430306592222543,0.06787305831194812,0.017840050740932867
4,2669,642,23.192206819033345,23.98753894080997,0.573047292601463,0.5263157894736842,0.5564511441233954,0.5378151260504201,0.4344588538545355,0.4918032786885246,0.13858843874692756,0.0345125107851596,0.016596148478067674,-0.011499336576735963
5,2671,640,23.24971920628978,23.75,0.4519525519848322,0.48464163822525597,0.5526411810102961,0.5265700483091788,0.49436590788841006,0.5138121546961326,-0.042413355903577865,-0.02917051647087665,-0.10068862902546394,-0.041928410083922785
6,2586,725,22.892498066511987,24.96551724137931,0.564442798205295,0.5720823798627003,0.5827462488406328,0.5480093676814989,0.5153731549819893,0.5348837209302325,0.04906964322330565,0.037198658932467765,-0.01830345063533778,0.024073012181201392
7,2651,660,23.236514522821576,23.78787878787879,0.5783860693848677,0.5185185185185185,0.4625915673041087,0.5201793721973094,0.40847497181867193,0.5083135391923991,0.16991109756619577,0.010204979326119412,0.11579450208075898,-0.0016608536787908745
8,2622,689,23.64607170099161,22.206095791001452,0.5921163302794337,0.5174418604651163,0.6035942385527615,0.5444444444444444,0.5107949630262195,0.5052631578947369,0.08132136725321415,0.012178702570379452,-0.011477908273327841,-0.027002583979328088
9,2585,726,24.10058027079304,20.66115702479339,0.42411458964740023,0.45625,0.43587139645410505,0.43478260869565216,0.40666419027871176,0.4619289340101523,0.017450399368688474,-0.005678934010152292,-0.011756806806704823,0.021467391304347827
10,2608,703,23.159509202453986,24.039829302987197,0.5055815429438129,0.5129310344827587,0.5230837778890398,0.5077951002227171,0.405165031325395,0.49504950495049505,0.10041651161841786,0.01788152953226363,-0.017502234945226958,0.0051359342600415525
11,2653,658,22.72898605352431,25.835866261398177,0.5745413248928892,0.5778894472361809,0.5877001766699352,0.5700245700245701,0.39358964989024464,0.39296187683284456,0.18095167500264459,0.1849275704033363,-0.01315885177704601,0.007864877211610777
12,2623,688,23.82767823103317,21.511627906976745,0.4509473099486947,0.46851385390428213,0.4120676918800582,0.46190476190476193,0.35562355007058827,0.3569553805774278,0.09532375987810643,0.11155847332685431,0.03887961806863649,0.0066090919995202
13,2683,628,22.922102124487516,25.159235668789808,0.540357316725797,0.5263157894736842,0.535595124372927,0.549618320610687,0.5501549713633208,0.5231607629427792,-0.0097976546375238,0.0031550265309049363,0.004762192352870009,-0.02330253113700287
14,2618,693,23.682200152788386,22.07792207792208,0.5201753878276169,0.4382716049382716,0.5596519165475317,0.5281173594132029,0.47341766979088196,0.48186528497409326,0.0467577180367349,-0.04359368003582165,-0.039476528719914805,-0.08984575447493132
15,2625,686,23.00952380952381,24.635568513119534,0.5781764681543008,0.5348314606741573,0.37463511834413676,0.4970414201183432,0.3849774216645545,0.5069860279441117,0.19319904648974628,0.027845432730045583,0.20354134981016403,0.03779004055581414
