split_index,n_train,n_test,train_ess_pct,test_ess_pct,hypergraph_pr_auc,hypergraph_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff
1,2624,687,22.713414634146343,25.76419213973799,0.6690671953812085,0.5691489361702128,0.6064096696803141,0.5721925133689839,0.06265752570089445,-0.00304357719877113
2,2614,697,23.756694720734505,21.8077474892396,0.4476422384981918,0.4750733137829912,0.39220087549440835,0.5069124423963134,0.05544136300378344,-0.031839128613322165
3,2629,682,22.97451502472423,24.780058651026394,0.6651308422044157,0.5966587112171837,0.5457719956321402,0.5584415584415584,0.11935884657227547,0.03821715277562532
4,2669,642,23.192206819033345,23.98753894080997,0.6291847195160888,0.56353591160221,0.5880338040018808,0.544973544973545,0.04115091551420802,0.01856236662866495
5,2671,640,23.24971920628978,23.75,0.5983443474430202,0.5110565110565111,0.5336638197582917,0.5168539325842697,0.06468052768472854,-0.005797421527758639
6,2586,725,22.892498066511987,24.96551724137931,0.5985513574173202,0.5648535564853556,0.5388479891961642,0.5956416464891041,0.05970336822115607,-0.03078809000374849
7,2651,660,23.236514522821576,23.78787878787879,0.6112958565993107,0.5069637883008357,0.6359967748932005,0.547550432276657,-0.024700918293889762,-0.040586643975821346
8,2622,689,23.64607170099161,22.206095791001452,0.6601390967754981,0.5501165501165501,0.5869641370837284,0.5230769230769231,0.07317495969176968,0.027039627039627034
9,2585,726,24.10058027079304,20.66115702479339,0.4498765558612693,0.4672364672364672,0.4387288945490857,0.4417910447761194,0.011147661312183588,0.02544542246034781
10,2608,703,23.159509202453986,24.039829302987197,0.49300479551674725,0.5330490405117271,0.6129600344623007,0.5133470225872689,-0.11995523894555349,0.019702017924458137
11,2653,658,22.72898605352431,25.835866261398177,0.5297454478117283,0.5470588235294118,0.5804879772412036,0.5552699228791774,-0.050742529429475325,-0.008211099349765605
12,2623,688,23.82767823103317,21.511627906976745,0.49746667325669547,0.4972067039106145,0.4233060878428606,0.4885057471264368,0.07416058541383486,0.008700956784177705
13,2683,628,22.922102124487516,25.159235668789808,0.5622205364507307,0.5317647058823529,0.5540280440381045,0.5352112676056338,0.008192492412626207,-0.0034465617232808388
14,2618,693,23.682200152788386,22.07792207792208,0.5297357374798213,0.43670886075949367,0.49576793081024534,0.43169398907103823,0.03396780666957594,0.005014871688455436
15,2625,686,23.00952380952381,24.635568513119534,0.6079033776092245,0.5727069351230425,0.592077100275628,0.5286885245901639,0.01582627733359654,0.04401841053287858
