feature,mean,std,median,min,max,n_splits,rank
protein_MedianUniqueRatio,0.1079634806174568,0.05194684717807854,0.10401425631160684,0.027710017663847238,0.20614830931645467,15,1
base_TriangleCount,0.08991452184374807,0.04632474817920271,0.08491977245476433,0.02377062868012697,0.1981400327739599,15,2
stoich_WeightedTriangles,0.05917610300632624,0.056119193533669,0.04588869677428806,-0.019522753978410134,0.17057117681065317,15,3
base_AvgNeighbourDegree,0.05846974318543314,0.026531019518273618,0.05380647912710348,0.010429712697099126,0.10373954215079073,15,4
base_UniquePartners,0.030676219787081346,0.04058551810588434,0.012160430788432153,-0.05419702434631041,0.11765955149264747,15,5
base_Degree,0.024281939602822208,0.03991123581162387,0.00295052042374534,-0.008652064132712805,0.11413286600378565,15,6
protein_RangeUniqueRatio,0.011904206066836004,0.01328277246061291,0.007916961396157607,-0.00561882379910702,0.04295288744564861,15,7
stoich_AvgNeighbourDegreeStoich,0.009916724000931453,0.011119203872070195,0.0052806152384227475,-0.001126737641024189,0.04202160436675645,15,8
stoich_MedianRatio,0.007309997315524554,0.01768686278823429,0.00595741985372773,-0.01873323178956498,0.04960087550056878,15,9
base_LocalClustCoeff,0.005057946498649217,0.006051659461765677,0.0035798028802071836,-0.00062696690241405,0.02069888928506104,15,10
protein_RangeComplexNodes,0.0033592930367887233,0.007304903508379308,0.002083646926508298,-0.004456629802630796,0.026274601500734705,15,11
protein_MedComplexNodes,0.001313895500935868,0.007346775631471753,0.00018600660767066347,-0.014400261752940114,0.016287547521673117,15,12
stoich_RangeComplexSize,0.00021347077005985787,0.004147441323033707,0.0009805818627040886,-0.013416431707825149,0.0064147725948072165,15,13
stoich_RangeRatio,-0.0019839617420821516,0.004119306192195118,-0.0004920685114899737,-0.014491461761219437,0.0017595787092683835,15,14
stoich_MedComplexSize,-0.007378644115760166,0.01630540767457388,-0.0020078191072035677,-0.05545691694982222,0.011478798155797776,15,15
