feature,mean,std,median,min,max,n_splits,rank
base_TriangleCount,0.11785156308870938,0.06633099631748346,0.1226627203563628,0.029833980785128132,0.2548621053778221,15,1
stoich_WeightedTriangles,0.08769799901462107,0.049752039060764884,0.08519994372410755,0.003898365936726622,0.16066062784988847,15,2
base_AvgNeighbourDegree,0.08073015697940485,0.02221698489346524,0.07806423056854508,0.0446573044393044,0.1292825949241784,15,3
protein_MedianUniqueRatio,0.05113931843118893,0.03656549706700636,0.049685548783137815,0.0033877312626573062,0.1375276251706462,15,4
base_UniquePartners,0.016289356056446415,0.02673054827567551,0.008708580596659448,-0.02981384075619692,0.06799255340590195,15,5
protein_RangeUniqueRatio,0.016259847726105704,0.012779658054101736,0.015335264333349873,-0.004598059013622846,0.03882211853148325,15,6
base_Degree,0.01513647610044013,0.022387547792080263,0.01295798452742276,-0.010274867687330047,0.08250295651893376,15,7
stoich_MedianRatio,0.01173717943194643,0.009601081298822083,0.00889298701153024,0.004435453124732691,0.043640826307734415,15,8
stoich_AvgNeighbourDegreeStoich,0.01164662060598159,0.010772237360428547,0.010221716061632502,-0.002597651134732115,0.02851779236087639,15,9
base_LocalClustCoeff,0.0034107230432746504,0.010789935279398775,0.003975545175081518,-0.028231432460505013,0.01633575918530995,15,10
protein_RangeComplexNodes,0.002591157372168926,0.006367376622916945,0.00020492363970872062,-0.0064950837133584734,0.02169552429104642,15,11
stoich_RangeComplexSize,0.0019579474299572857,0.003651131277815047,0.0009619849882371411,-0.002619391129773563,0.0125105795862547,15,12
protein_MedComplexNodes,0.001452170650123565,0.005656594371581025,0.0008532482539627794,-0.010559242826089032,0.014840302664723293,15,13
stoich_RangeRatio,0.001101166709117721,0.0028428841708987153,0.0002956152401688894,-0.0030224195096992257,0.00767543090628503,15,14
stoich_MedComplexSize,0.0003376226517717168,0.010976206036540365,0.00312790416454507,-0.03167432385811927,0.010360508064143525,15,15
