feature,mean,std,median,min,max,n_splits,rank
protein_MedianUniqueRatio,0.04268461092784869,0.03164315155383109,0.04662129103708733,-0.01428340090260392,0.08914227999922383,15,1
protein_MedComplexNodes,0.03633025791456114,0.026371702252896506,0.0470690671765731,-0.011584333175151108,0.07137639165070317,15,2
base_Degree,0.024043371008594376,0.013966807626450294,0.025939052172441496,0.0012301432089452725,0.04760495059049835,15,3
protein_RangeUniqueRatio,0.02184206625219576,0.01739324006571926,0.015576750694886515,-0.002248833034153164,0.058893739809117295,15,4
base_TriangleCount,0.011440347092349527,0.012614465477093407,0.017631867346765872,-0.006872405334792814,0.025775038047534886,15,5
stoich_RangeComplexSize,0.011432518134765556,0.014322228030214311,0.007445949355905329,-0.009333880354096819,0.03778117181450004,15,6
protein_RangeComplexNodes,0.009467016328015183,0.010593489106521104,0.011714356940341375,-0.01102818687128207,0.024303517511940785,15,7
base_LocalClustCoeff,0.006995370419118322,0.007985290974692631,0.00515105068380321,-0.0033713016242362835,0.024986405588944882,15,8
base_AvgNeighbourDegree,0.0013724000118931364,0.022949175238724317,0.002983075870300883,-0.04504321813068679,0.0419551022089336,15,9
stoich_RangeRatio,0.0005908952981145536,0.0018398072359574237,0.00020827356824725806,-0.0023574508353028543,0.00586131722497576,15,10
stoich_MedianRatio,-0.000438112509928019,0.027783290926308598,-0.005270106811663361,-0.055956495403268705,0.04274250260180734,15,11
stoich_WeightedTriangles,-0.0006384868894351266,0.0023545636995008323,-0.0002820677893557999,-0.008113788021629126,0.0017378603788475388,15,12
stoich_AvgNeighbourDegreeStoich,-0.0018478405732633718,0.0029390752235344086,-0.0009363686108518898,-0.008069334171648002,0.0012146251922733552,15,13
base_UniquePartners,-0.0063894659700135855,0.018105085689596855,-0.0017782296791407303,-0.04387496111858937,0.01985693993482434,15,14
stoich_MedComplexSize,-0.00994829292340518,0.015459345310770858,-0.007028436990067821,-0.049445794405922075,0.006860530985572133,15,15
