feature,mean,std,median,min,max,n_splits,rank
stoich_MedianRatio,0.054522695905613656,0.026435929872626437,0.05066720977278155,0.008656807284464713,0.11947121153932583,15,1
stoich_MedComplexSize,0.038310919074915795,0.02650725981964575,0.036941494045804976,0.0009773583328228364,0.08525271183023689,15,2
base_ComponentEdgeNodeRatio,0.02776455806819733,0.03303274864912766,0.03592603151547656,-0.025444830314959876,0.0920010895115321,15,3
protein_MedianUniqueRatio,0.024626014728732753,0.021779045591343922,0.019705138767818223,-0.011943065126464897,0.0729825390027288,15,4
base_ComponentSize,0.023484016941019963,0.019352504091326807,0.02263179270578396,-0.008661066297805376,0.06295784481213483,15,5
protein_MedComplexNodes,0.01622212603267803,0.01817322460560175,0.017808387271410032,-0.01686312343189368,0.04897338625235785,15,6
stoich_RangeComplexSize,0.014408601334147557,0.023338085335888104,0.016700448109583262,-0.03243260110264645,0.058350110876428316,15,7
base_Degree,0.012017800508145318,0.01903394770400494,0.006792660283896612,-0.020259781575033553,0.05600114499116351,15,8
base_AvgNeighbourDegree,0.011970948462479957,0.014791960039361278,0.013288273533846456,-0.010857398716427647,0.03707877608683186,15,9
protein_RangeUniqueRatio,0.011440758426774267,0.01647086215262537,0.00997410385039309,-0.011708311058195881,0.0508741142431129,15,10
stoich_RangeRatio,0.0105788036006544,0.010921138652510686,0.009455727271503445,-0.006166567815535306,0.029840216471128517,15,11
base_UniquePartners,0.008902682766531974,0.019026671241232463,0.0052896319955216455,-0.0154411019927729,0.05865704032157861,15,12
stoich_AvgNeighbourDegreeStoich,0.0076945523898253095,0.01447956144873235,0.011193047444705534,-0.019806909495699753,0.030127141287312375,15,13
base_KatzCentrality,0.004224381635489697,0.018223623350910625,-0.0014012752564924458,-0.0118840419604552,0.0479935746878407,15,14
base_EigenvectorCentrality,0.003849845742291251,0.004506906258406537,0.004469919603166106,-0.003350079066577083,0.012435293518974067,15,15
base_TriangleCount,0.0032829420358011507,0.017610454795454675,0.0019838190926603633,-0.03327399018880864,0.04069911537996261,15,16
base_LocalClustCoeff,0.0027495902911824346,0.0045475987425958,0.002284194597836317,-0.004711200008908761,0.010533184299235148,15,17
protein_RangeComplexNodes,0.002141890944768835,0.006473390803669699,0.00147582512698409,-0.009701257072840091,0.013820656721864128,15,18
stoich_WeightedTriangles,0.0017357706217919634,0.012376250394950097,-0.00010151542179392126,-0.015314733884273768,0.03267901491058407,15,19
base_BetweennessCentrality,0.0014122125666877182,0.015844222464664347,0.0008949368725888668,-0.02829131122620033,0.030552622570861797,15,20
