feature,mean,std,median,min,max,n_splits,rank
stoich_MedianRatio,0.07328314248041101,0.033993624262334786,0.0741107570622318,0.014403204629113226,0.13818896705461634,15,1
stoich_MedComplexSize,0.04825765557708687,0.028587843522034594,0.053170723211403204,0.0033411764783587957,0.10103766078545066,15,2
stoich_RangeComplexSize,0.041209894781862724,0.029798662643555515,0.03157213530538794,0.00022129316900600937,0.09333661830622769,15,3
base_Degree,0.04066072106501431,0.0204979858984019,0.035712463177487545,0.006169364883970801,0.0801530130914423,15,4
protein_MedComplexNodes,0.0384100864282064,0.023979911507158492,0.03950308584588739,-0.006348527202353316,0.08607770835724785,15,5
protein_MedianUniqueRatio,0.037489265037816535,0.01867555479307285,0.03665256393867474,0.004663820545311221,0.06698645440318987,15,6
stoich_RangeRatio,0.020741516584944875,0.026112135154189694,0.016951212036707942,-0.020519207023664124,0.06804518966611144,15,7
stoich_AvgNeighbourDegreeStoich,0.01913648742755199,0.01686457911267225,0.018445055711993973,-0.012850764136982626,0.049479676045197644,15,8
base_AvgNeighbourDegree,0.018595356527847707,0.018812457586355653,0.017626286372447963,-0.005581549291297563,0.052471103680127175,15,9
base_UniquePartners,0.01813928561616444,0.015785843660012875,0.02124105233880998,-0.013481845403281395,0.048462970210422854,15,10
base_TriangleCount,0.014580593212941648,0.01608230781442731,0.01438836366467516,-0.012000386045611322,0.0405306655482813,15,11
protein_RangeUniqueRatio,0.012070569214532248,0.0243655266644907,0.018144196161088456,-0.0447303373633295,0.04783969615436171,15,12
stoich_WeightedTriangles,0.006828953731136824,0.013322275115305586,0.006637158710301955,-0.022497061663137648,0.02529649374582273,15,13
protein_RangeComplexNodes,0.005397208189927018,0.013193941471782598,0.009101871843760736,-0.026531029746501667,0.0202468491609827,15,14
base_LocalClustCoeff,0.00412409098873631,0.010944295705116746,0.0030873791192169236,-0.017257595429986127,0.018699966566794436,15,15
