split_index,n_train,n_test,train_dt_pct,test_dt_pct,hypergraph_pr_auc,hypergraph_f1,hyper_nostoich_pr_auc,hyper_nostoich_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff,stoich_pr_auc_diff,stoich_f1_diff
1,4043,1079,11.921840217660154,12.511584800741426,0.5023718606290489,0.458128078817734,0.5083290932965968,0.4413793103448276,0.19500443704233839,0.253125,0.30736742358671054,0.205003078817734,-0.005957232667547885,0.016748768472906406
2,4151,971,12.165743194410986,11.53450051493306,0.4621233129464247,0.4350453172205438,0.4811011002617452,0.42424242424242425,0.22606071336824834,0.24220183486238533,0.23606259957817638,0.19284348235815846,-0.01897778731532046,0.010802892978119538
3,4096,1026,11.62109375,13.742690058479532,0.4739762729095071,0.4330357142857143,0.4920098703901456,0.4222737819025522,0.19508725443383956,0.2280130293159609,0.27888901847566755,0.2050226849697534,-0.018033597480638486,0.010761932383162087
4,4131,991,11.280561607358992,15.237134207870836,0.49551612107045817,0.4841628959276018,0.5009424702402219,0.4872881355932203,0.19568464861806661,0.29441624365482233,0.29983147245239156,0.18974665227277948,-0.0054263491697637,-0.0031252396656185066
5,4069,1053,12.06684689112804,11.965811965811966,0.4834864226196781,0.419811320754717,0.46245413576665684,0.3952941176470588,0.16301479108108352,0.19230769230769232,0.3204716315385946,0.22750362844702468,0.021032286853021276,0.024517203107658203
6,4124,998,11.784675072744907,13.126252505010019,0.3903275706703984,0.389873417721519,0.4179325928070752,0.38190954773869346,0.210576834480038,0.21201413427561838,0.17975073619036042,0.17785928344590063,-0.02760502213667676,0.007963869982825555
7,4121,1001,12.78815821402572,8.991008991008991,0.4372289873778449,0.3431952662721893,0.45555785122494125,0.35398230088495575,0.21961613639085087,0.2058252427184466,0.217612850986994,0.13737002355374273,-0.018328863847096366,-0.010787034612766422
8,3979,1143,11.686353355114349,13.298337707786526,0.4026158879787759,0.45652173913043476,0.39354083425001074,0.41575492341356673,0.19466248439640524,0.24290220820189273,0.20795340358237066,0.21361953092854202,0.009075053728765159,0.04076681571686802
9,4102,1020,13.066796684544125,7.941176470588235,0.420365532092398,0.3730886850152905,0.43249696937560056,0.37662337662337664,0.1746784360199023,0.21497120921305182,0.24568709607249573,0.1581174758022387,-0.01213143728320254,-0.0035346916080861157
10,4073,1049,11.686717407316474,13.44137273593899,0.5081482564805911,0.47643979057591623,0.5330397897394308,0.4727272727272727,0.21400530803184858,0.2462686567164179,0.29414294844874256,0.23017113385949833,-0.024891533258839638,0.003712517848643515
11,4091,1031,13.321926179418236,6.9835111542192045,0.3863571409839865,0.32786885245901637,0.41411443002866827,0.3509933774834437,0.15181701241665513,0.15948275862068967,0.23454012856733136,0.1683860938383267,-0.027757289044681777,-0.023124525024427356
12,4141,981,11.808741849794735,13.047910295616719,0.520150037909403,0.46511627906976744,0.5557518860008988,0.4811594202898551,0.21312186820992823,0.27796610169491526,0.3070281696994747,0.18715017737485218,-0.0356018480914958,-0.016043141220087653
13,4094,1028,11.553492916463117,14.007782101167315,0.5152263864749237,0.4529058116232465,0.5639336923248177,0.4536489151873767,0.22211023746307257,0.2526564344746163,0.2931161490118511,0.20024937714863023,-0.04870730584989402,-0.0007431035641302097
14,4017,1105,11.949215832710978,12.39819004524887,0.5288479061099176,0.457002457002457,0.5323970654769643,0.45012787723785164,0.20504720694855247,0.26501766784452296,0.3238006991613651,0.19198478915793404,-0.0035491593670466948,0.006874579764605371
15,4138,984,12.228129531174481,11.28048780487805,0.46896504835605096,0.40848806366047746,0.46093309223407675,0.4021164021164021,0.2265536151114496,0.22586520947176686,0.24241143324460135,0.1826228541887106,0.008031956121974215,0.006371661544075369
