feature,mean,std,median,min,max,n_splits,rank
base_TriangleCount,0.23531322182177572,0.06671969995392779,0.23700194990904827,0.10763026046535677,0.36753413990939016,50,1
base_AvgNeighbourDegree,0.08777675684674772,0.02936842957951812,0.0840968163196349,0.034594577457804636,0.1763407735539809,50,2
protein_MedComplexNodes,0.06219567388331604,0.052513145024097874,0.04113848954428777,0.00098072241155579,0.20755453486473466,50,3
base_Degree,0.018546040624755344,0.01847175862530233,0.014947720460829289,-0.008659734285275134,0.0894698267441967,50,4
base_UniquePartners,0.011243631726689969,0.029701671527181492,0.00047047286869126296,-0.027295147558004024,0.11039881873400063,50,5
protein_RangeComplexNodes,0.008156119482016628,0.016798717215202492,0.009756707926184632,-0.04149204648461118,0.042438097807824496,50,6
protein_RangeUniqueRatio,0.005175424770323126,0.008302381805672186,0.005464279245619516,-0.016833950499086002,0.027410948117911303,50,7
base_LocalClustCoeff,0.00306010604086736,0.010168862352349954,0.0014370990659191229,-0.031238318730123366,0.025784665969001298,50,8
stoich_MedComplexSize,0.000329056905198006,0.0014653636265075307,0.00033860496008425445,-0.003921310562211566,0.0057456731039505545,50,9
stoich_AvgNeighbourDegreeStoich,0.00019830435402041005,0.001031951130782614,0.00023753982852047772,-0.004304320894268554,0.0031775587190507716,50,10
stoich_WeightedTriangles,3.038913993765824e-05,0.0007107904029656986,1.84700977649499e-05,-0.0033260559383225252,0.002755092256806335,50,11
stoich_RangeRatio,0.0,0.0,0.0,0.0,0.0,50,12
stoich_RangeComplexSize,-3.1309792810363386e-07,2.2139366813753767e-06,0.0,-1.5654896405181694e-05,0.0,50,13
stoich_MedianRatio,-0.00010793484351292348,0.0005992530839362436,3.060744083737688e-05,-0.002687272793915152,0.0009879041152417224,50,14
