feature,mean,std,median,min,max,n_splits,rank
base_TriangleCount,0.20060832720228322,0.09673816657469671,0.2052557468516259,0.04563237752220573,0.3799270344833086,15,1
base_AvgNeighbourDegree,0.07444763603031805,0.027343914867959788,0.0847616646909175,0.02751855405835717,0.11528408888001491,15,2
protein_MedianUniqueRatio,0.07002239802464875,0.032884091074737096,0.06444419432554324,0.011371180061773878,0.12442683568455863,15,3
base_Degree,0.01716124895964688,0.016034675139812122,0.01227928421714945,-0.002614343375318795,0.054372882528192744,15,4
base_UniquePartners,0.013465726366253457,0.024447810300530594,0.005376621029051465,-0.022477729282855286,0.07599254711758757,15,5
protein_RangeUniqueRatio,0.010920440009776359,0.006676788149559339,0.010388329866046032,0.000560363301202449,0.023665310384785292,15,6
protein_RangeComplexNodes,0.008146177425479925,0.011555375969048178,0.007225761727523555,-0.007648941024471612,0.040048379472343035,15,7
protein_MedComplexNodes,0.0015981455094416467,0.004929109167948016,0.0010193996981050946,-0.010710853051095415,0.011139004285111803,15,8
base_LocalClustCoeff,0.0011420827566930075,0.005544031680486253,0.0023753330281385265,-0.009780397265306828,0.009839117765829557,15,9
stoich_AvgNeighbourDegreeStoich,0.000282768084359221,0.0007409132505563118,0.0002067515835738276,-0.001223012321354916,0.0014149510103504404,15,10
stoich_MedComplexSize,0.00025558589048771727,0.001201005135539461,0.00033963635136576855,-0.002552706057208409,0.0017002377062355523,15,11
stoich_WeightedTriangles,0.00013309605351222352,0.00138234827921356,0.0,-0.0036347330652967635,0.0026678995302419407,15,12
stoich_RangeComplexSize,0.0,0.0,0.0,0.0,0.0,15,13
stoich_RangeRatio,0.0,0.0,0.0,0.0,0.0,15,14
stoich_MedianRatio,-4.9625840980027275e-05,0.00021451895818379999,-4.043368504772493e-05,-0.0002983486577194161,0.00042059078900358315,15,15
