feature,mean,std,median,min,max,n_splits,rank
base_Degree,0.089109635210099,0.04287204236522556,0.08125718843021795,0.030778294015613043,0.16020399644681044,15,1
protein_MedianUniqueRatio,0.08371139068219023,0.04086626528661582,0.0704025664025379,0.024386188979114112,0.1572535198642548,15,2
protein_MedComplexNodes,0.06953933253169282,0.03965322335039032,0.05238759360194205,0.01584959746690002,0.15946520877519624,15,3
protein_RangeComplexNodes,0.019425251173216133,0.00985064483027007,0.019446471770453576,0.004378738041490143,0.037913062223635205,15,4
protein_RangeUniqueRatio,0.015133552245422672,0.016714759409188873,0.015097340057830066,-0.008298195309333034,0.05178188131721708,15,5
stoich_MedComplexSize,0.012126690224544063,0.016699797994297765,0.011072404682151404,-0.022999716221511084,0.039404879412740304,15,6
base_UniquePartners,0.006878066270969527,0.010854387449632411,0.006908382307490113,-0.007927520341319416,0.026842037773533178,15,7
stoich_RangeComplexSize,-0.00026444138441161,0.002479447517065664,0.0,-0.006575423828387749,0.005728291027160659,15,8
stoich_MedianRatio,-0.0009224841263610758,0.01202412219049385,0.00010204331265545319,-0.02222732392916334,0.029886254698067338,15,9
stoich_RangeRatio,-0.0013671590787107256,0.004677758599120764,0.0,-0.015489870911281156,0.002588468908415431,15,10
