feature,mean,std,median,min,max,n_splits,rank
protein_MedComplexNodes,0.16534327561637718,0.03985347196243904,0.15884818941645362,0.08936889875564306,0.2824186952391786,50,1
base_Degree,0.08389068503111988,0.02880343808764376,0.07635725251293297,0.037122987723019474,0.17270125158742927,50,2
base_TriangleCount,0.020741880015352567,0.01596349369135349,0.01917892791080986,-0.00559560928543229,0.06505974331603911,50,3
base_AvgNeighbourDegree,0.019678879174356477,0.01120317031318176,0.01966410397733657,-0.011300833454289594,0.04434970053697891,50,4
stoich_MedianRatio,0.016172187696427608,0.02181332294927336,0.013420799317232782,-0.028620056621846336,0.09824784899312457,50,5
base_UniquePartners,0.015466375440051326,0.017867824770842804,0.01387302815720868,-0.016185733947833326,0.07465693279689771,50,6
protein_RangeUniqueRatio,0.01246818417026402,0.02002752688720604,0.010205182085913084,-0.02954902289728929,0.06808946446820577,50,7
protein_RangeComplexNodes,0.012209380796400448,0.009963238538753407,0.01082059884364795,-0.008579372642358907,0.04860625939403107,50,8
base_LocalClustCoeff,0.00826010731419483,0.008422916754788387,0.00578333525385894,-0.004977367357589357,0.027754579913812222,50,9
stoich_MedComplexSize,0.0006182486206839088,0.007648746415376079,0.0008342725278866509,-0.02025740755987937,0.02058198247205515,50,10
stoich_AvgNeighbourDegreeStoich,0.0003437969893244849,0.00256225192994755,0.0008944839063953381,-0.00787323131521141,0.005571556511328679,50,11
stoich_RangeComplexSize,1.6568287104913758e-05,6.16279880488319e-05,0.0,-2.6636518075540127e-05,0.0003647152877686022,50,12
stoich_RangeRatio,-3.141410639131581e-05,0.00020028490365233878,0.0,-0.00130623008627212,0.0001549517068425821,50,13
stoich_WeightedTriangles,-0.0002968607043487386,0.0012649793274640197,-0.00017438824587458213,-0.004905101610046364,0.004440764269793502,50,14
