database,task,task_name,model,n_splits,representation,pr_auc_mean,pr_auc_std,f1_mean,f1_std
CORUM,ess,Gene Essentiality,LogisticRegression,50,Pairwise,0.4353000856917862,0.09699653977091585,0.4566613224737661,0.06813979824633573
CORUM,ess,Gene Essentiality,LogisticRegression,50,Hypergraph,0.4398084495306663,0.09620023220865045,0.43910656028820083,0.09526602375319437
CORUM,ess,Gene Essentiality,LogisticRegression,50,Hypergraph + flag,0.4434239915553323,0.09667947335248483,0.43959620851439185,0.09287444922390305
CORUM,ess,Gene Essentiality,LogisticRegression,50,Hypergraph + 1/size,0.4780273558770896,0.10158738793897083,0.46898435160365864,0.07645730856887947
CORUM,ess,Gene Essentiality,LogisticRegression,50,HB-graph,0.4454332968827534,0.09654186043303263,0.43842347303765483,0.09216994289087231
CORUM,hpa,Drug Target Prediction (HPA),LogisticRegression,50,Pairwise,0.26623060422592704,0.0350036244936538,0.33778621613625576,0.024875812530173187
CORUM,hpa,Drug Target Prediction (HPA),LogisticRegression,50,Hypergraph,0.3591106295002257,0.04349643053313766,0.3469249255763116,0.025680882791225528
CORUM,hpa,Drug Target Prediction (HPA),LogisticRegression,50,Hypergraph + flag,0.3902546958568977,0.039988705568486264,0.39280907655703884,0.034202383967316195
CORUM,hpa,Drug Target Prediction (HPA),LogisticRegression,50,Hypergraph + 1/size,0.4276396988539855,0.0489458500439592,0.3579547125659364,0.023748766946413907
CORUM,hpa,Drug Target Prediction (HPA),LogisticRegression,50,HB-graph,0.3953594388587715,0.03967296270631786,0.3913027983819759,0.03326214389508009
CORUM,chembl,Drug Target Prediction (ChEMBL),LogisticRegression,50,Pairwise,0.2709906645462307,0.03319421098418457,0.3561568367604098,0.02423193855814246
CORUM,chembl,Drug Target Prediction (ChEMBL),LogisticRegression,50,Hypergraph,0.36978648871465347,0.043812286673525234,0.3697648772754981,0.027866614985700856
CORUM,chembl,Drug Target Prediction (ChEMBL),LogisticRegression,50,Hypergraph + flag,0.3891783210694086,0.04587715521533174,0.4003240569792081,0.027713612089612087
CORUM,chembl,Drug Target Prediction (ChEMBL),LogisticRegression,50,Hypergraph + 1/size,0.426470599964434,0.05071604731090179,0.3654208450381208,0.026186326073177595
CORUM,chembl,Drug Target Prediction (ChEMBL),LogisticRegression,50,HB-graph,0.4089357248482948,0.047471130411632395,0.40551868168521304,0.029431028871958646
