feature,mean,std,median,min,max,n_splits,rank
protein_MedComplexNodes,0.13364784560839682,0.04339287170782974,0.12572492027911458,0.04394821412866093,0.2658719804379947,50,1
protein_RangeComplexNodes,0.12552536927088784,0.05116978937909745,0.12192677819193279,0.02957935666861049,0.25701623171001203,50,2
stoich_MedianRatio,0.11689448933872618,0.028081276330820516,0.11694487847458084,0.06814764141191179,0.19559140365928834,50,3
base_TriangleCount,0.10553196986320627,0.038004662474838795,0.10506029759286414,0.03925887405305228,0.21610370546443872,50,4
base_Degree,0.045338217179855624,0.033906852218686646,0.04418099473400878,-0.016744025684759394,0.12737772386836504,50,5
protein_RangeUniqueRatio,0.03866276700813497,0.016922241124338204,0.03784905364603509,0.009715774525219106,0.0871701850019421,50,6
base_UniquePartners,0.03673959447668931,0.05147957011705348,0.016592245453306738,-0.0069841083701799814,0.21632194567727625,50,7
stoich_MedComplexSize,0.00837332118434421,0.0064533797715930355,0.008622943527083418,-0.00785177521807423,0.02138168719270876,50,8
base_AvgNeighbourDegree,0.008002275446316117,0.004881345122015198,0.0069261880687849185,-0.0025610992111064546,0.022979306567031305,50,9
stoich_AvgNeighbourDegreeStoich,0.001552098632730225,0.009429899113584295,0.0029904187578439073,-0.02877734185706577,0.015708172859863236,50,10
stoich_RangeComplexSize,0.0011537330826069247,0.0036543218415608226,0.001354435551577593,-0.01650028342798616,0.009953839820045612,50,11
stoich_WeightedTriangles,0.0010528762087170752,0.0016553602633778348,0.0009737929910866833,-0.0028767448082231807,0.0069819047247065506,50,12
base_LocalClustCoeff,0.0007523188984492732,0.0023036442528343915,0.0008082882439978179,-0.0061782749843847795,0.0065888649300149815,50,13
stoich_RangeRatio,-0.001733410201656428,0.004980155116720544,-0.00044850889170502397,-0.02055122413607095,0.010581784420419859,50,14
