split_index,n_train,n_test,train_pos_pct,test_pos_pct,pairwise_pr_auc,pairwise_f1,hypergraph_pr_auc,hypergraph_f1,hyper_flag_pr_auc,hyper_flag_f1,hyper_recip_pr_auc,hyper_recip_f1,hb_graph_pr_auc,hb_graph_f1,pr_auc_diff,f1_diff,stoich_pr_auc_diff,stoich_f1_diff,annot_pr_auc_diff,value_pr_auc_diff,recip_pr_auc_diff,net_recip_pr_auc_diff
1,4051,1071,12.021723031350284,12.138188608776844,0.24940834768978973,0.32451499118165783,0.35522748355559863,0.35514018691588783,0.382091773262177,0.4035476718403548,0.4061017420718376,0.33989266547406083,0.4028109627666133,0.4046511627906977,0.1534026150768236,0.08013617160903985,0.04758347921101469,0.04951097587480985,0.026864289706578393,0.020719189504436297,0.050874258516238946,-0.003290779305224256
2,4192,930,12.23759541984733,11.182795698924732,0.2785756410106672,0.3510392609699769,0.3273346270481958,0.37142857142857144,0.34003288724589276,0.39660056657223797,0.39943049086098414,0.35526315789473684,0.3727095553724564,0.40119760479041916,0.09413391436178925,0.050158343820442264,0.0453749283242606,0.02976903336184772,0.012698260197696931,0.03267666812656367,0.07209586381278832,-0.02672093548852772
3,3971,1151,12.238730798287586,11.381407471763684,0.22408906467836864,0.326007326007326,0.33193460650120526,0.34146341463414637,0.35320817375467234,0.3956043956043956,0.37401008230995636,0.3291139240506329,0.35934259835360505,0.367170626349892,0.1352535336752364,0.04116330034256599,0.027407991852399782,0.025707211715745637,0.021273567253467074,0.006134424598932708,0.042075475808751095,-0.014667483956351313
4,4212,910,12.369420702754036,10.54945054945055,0.2869268571045671,0.31004366812227074,0.314212412108062,0.3233256351039261,0.3463280430112225,0.35260115606936415,0.3883039603474414,0.3160270880361174,0.37601322744001203,0.3614457831325301,0.08908637033544492,0.051402115010259375,0.06180081533195003,0.03812014802860403,0.0321156309031605,0.029685184428789535,0.07409154823937941,-0.01229073290742938
5,4146,976,12.373371924746744,10.655737704918032,0.2328506154467046,0.36363636363636365,0.3147048237186958,0.3421686746987952,0.31946966451567843,0.35502958579881655,0.3735089582441458,0.34660421545667447,0.34252986705919286,0.36645962732919257,0.10967925161248826,0.0028232636928289256,0.02782504334049707,0.024290952630397378,0.004764840796982639,0.02306020254351443,0.058804134525450025,-0.030979091184952956
6,4208,914,12.286121673003802,10.940919037199125,0.2965320210252365,0.3524027459954233,0.39770580426588786,0.3624161073825503,0.4018949595922253,0.3759036144578313,0.4328070032197534,0.3707093821510298,0.4194400874014616,0.3719806763285024,0.12290806637622509,0.019577930333079085,0.02173428313557374,0.00956456894595209,0.004189155326337457,0.017545127809236283,0.03510119895386554,-0.013366915818291802
7,4175,947,12.263473053892216,11.08764519535375,0.21315562695364765,0.3261802575107296,0.3018882141605204,0.3657957244655582,0.3396785866877188,0.39886039886039887,0.36551013133254245,0.3325942350332594,0.36342010545870757,0.4084084084084084,0.15026447850505992,0.08222815089767882,0.06153189129818715,0.04261268394285023,0.03779037252719836,0.02374151877098879,0.06362191717202204,-0.0020900258738348887
8,4199,923,12.00285782329126,12.242686890574214,0.2612730047873658,0.35135135135135137,0.3604077420007199,0.37037037037037035,0.4140189660815501,0.37583892617449666,0.37542362174475374,0.3557483731019523,0.42885044729703187,0.3755868544600939,0.16757744250966605,0.024235503108742507,0.06844270529631197,0.005216484089723528,0.05361122408083019,0.014831481215481779,0.015015879744033844,0.05342682555227812
9,4125,997,12.096969696969696,11.835506519558676,0.20731361969604967,0.35294117647058826,0.3865503627991655,0.3603238866396761,0.4022802668777826,0.42359249329758714,0.4124212633785926,0.34011090573012936,0.4335867684401406,0.4475920679886686,0.22627314874409094,0.09465089151808032,0.04703640564097511,0.08726818134899245,0.01572990407861713,0.03130650156235798,0.025870900579427092,0.021165505061548018
10,4074,1048,12.199312714776632,11.450381679389313,0.30826953590092737,0.337037037037037,0.41763963758857764,0.3761996161228407,0.4661558573516515,0.40375586854460094,0.5155128691490549,0.3666061705989111,0.4982805013997343,0.4236453201970443,0.19001096549880692,0.0866082831600073,0.08064086381115665,0.04744570407420362,0.04851621976307385,0.032124644048082795,0.09787323156047728,-0.017232367749320632
11,4137,985,12.13439690597051,11.6751269035533,0.31829884712049206,0.3852813852813853,0.4200490282017464,0.3941908713692946,0.4622010556930819,0.4253393665158371,0.48041405243420354,0.4050632911392405,0.4977399386069025,0.42272727272727273,0.17944109148641046,0.03744588744588745,0.07769091040515613,0.028536401357978136,0.04215202749133551,0.035538882913820624,0.060365024232457154,0.01732588617269898
12,4196,926,11.796949475691134,13.174946004319654,0.3313129418070747,0.4309623430962343,0.4687767499303393,0.4646924829157175,0.4949189163970054,0.46236559139784944,0.5367193896521287,0.4384133611691023,0.5215438412736298,0.47513812154696133,0.19023089946655514,0.04417577845072701,0.05276709134329055,0.010445638631243814,0.026142166466666117,0.026624924876624434,0.06794263972178943,-0.015175548378498882
13,4195,927,12.181168057210966,11.434735706580366,0.25569827777843346,0.34324942791762014,0.3951493965300969,0.3554603854389722,0.4104353220474052,0.40896358543417366,0.4168027727733104,0.3524229074889868,0.42495087479629856,0.3978494623655914,0.1692525970178651,0.054600034447971235,0.029801478266201664,0.042389076926619196,0.015285925517308285,0.014515552748893379,0.021653376243213507,0.008148102022988157
14,4124,998,12.293889427740059,11.022044088176353,0.22898136717104445,0.3061630218687873,0.32339415949362676,0.32421875,0.35606653153474715,0.3746958637469586,0.39049383303670654,0.33076923076923076,0.39392465719245556,0.38860103626943004,0.16494329002141112,0.08243801440064275,0.0705304976988288,0.06438228626943004,0.03267237204112039,0.03785812565770841,0.06709967354307977,0.0034308241557490238
15,4059,1063,12.071938901207194,11.947318908748825,0.3017199693184714,0.3800383877159309,0.4071350582417971,0.36054421768707484,0.43659076218574633,0.3815028901734104,0.47679608468382506,0.3784722222222222,0.4489957025435168,0.39611650485436894,0.1472757332250454,0.01607811713843804,0.04186064430171971,0.0355722871672941,0.029455703943949252,0.012404940357770455,0.06966102644202798,-0.027800382140308277
16,3987,1135,11.963882618510159,12.334801762114537,0.23685592391254617,0.34494773519163763,0.32054745819042685,0.3742690058479532,0.31564513290965596,0.3738738738738739,0.36682736392218185,0.34397163120567376,0.34065121250940633,0.4019607843137255,0.10379528859686016,0.05701304912208788,0.020103754318979483,0.02769177846577231,-0.004902325280770892,0.025006079599750375,0.046279905731755,-0.026176151412775517
17,3963,1159,12.414837244511734,10.785159620362382,0.2753234812935306,0.3505535055350554,0.33468981989999125,0.3518850987432675,0.3808549605846623,0.36673773987206826,0.44063355030203255,0.3316062176165803,0.4137925604172427,0.3713646532438479,0.1384690791237121,0.0208111477087925,0.07910274051725147,0.019479554500580365,0.046165140684671035,0.03293759983258043,0.1059437304020413,-0.026840989884789834
