split_index,n_train,n_test,train_pos_pct,test_pos_pct,pairwise_pr_auc,hypergraph_pr_auc,hyper_flag_pr_auc,hyper_recip_pr_auc,hb_graph_pr_auc
1,4051,1071,12.021723031350284,12.138188608776844,0.24940834768978973,0.35522748355559863,0.382091773262177,0.4061017420718376,0.4028109627666133
2,4192,930,12.23759541984733,11.182795698924732,0.2785756410106672,0.3273346270481958,0.34003288724589276,0.39943049086098414,0.3727095553724564
3,3971,1151,12.238730798287586,11.381407471763684,0.22408906467836864,0.33193460650120526,0.35320817375467234,0.37401008230995636,0.35934259835360505
4,4212,910,12.369420702754036,10.54945054945055,0.2869268571045671,0.314212412108062,0.3463280430112225,0.3883039603474414,0.37601322744001203
5,4146,976,12.373371924746744,10.655737704918032,0.2328506154467046,0.3147048237186958,0.31946966451567843,0.3735089582441458,0.34252986705919286
6,4208,914,12.286121673003802,10.940919037199125,0.2965320210252365,0.39770580426588786,0.4018949595922253,0.4328070032197534,0.4194400874014616
7,4175,947,12.263473053892216,11.08764519535375,0.21315562695364765,0.3018882141605204,0.3396785866877188,0.36551013133254245,0.36342010545870757
8,4199,923,12.00285782329126,12.242686890574214,0.2612730047873658,0.3604077420007199,0.4140189660815501,0.37542362174475374,0.42885044729703187
9,4125,997,12.096969696969696,11.835506519558676,0.20731361969604967,0.3865503627991655,0.4022802668777826,0.4124212633785926,0.4335867684401406
10,4074,1048,12.199312714776632,11.450381679389313,0.30826953590092737,0.41763963758857764,0.4661558573516515,0.5155128691490549,0.4982805013997343
11,4137,985,12.13439690597051,11.6751269035533,0.31829884712049206,0.4200490282017464,0.4622010556930819,0.48041405243420354,0.4977399386069025
12,4196,926,11.796949475691134,13.174946004319654,0.3313129418070747,0.4687767499303393,0.4949189163970054,0.5367193896521287,0.5215438412736298
13,4195,927,12.181168057210966,11.434735706580366,0.25569827777843346,0.3951493965300969,0.4104353220474052,0.4168027727733104,0.42495087479629856
14,4124,998,12.293889427740059,11.022044088176353,0.22898136717104445,0.32339415949362676,0.35606653153474715,0.39049383303670654,0.39392465719245556
15,4059,1063,12.071938901207194,11.947318908748825,0.3017199693184714,0.4071350582417971,0.43659076218574633,0.47679608468382506,0.4489957025435168
16,3987,1135,11.963882618510159,12.334801762114537,0.23685592391254617,0.32054745819042685,0.31564513290965596,0.36682736392218185,0.34065121250940633
17,3963,1159,12.414837244511734,10.785159620362382,0.2753234812935306,0.33468981989999125,0.3808549605846623,0.44063355030203255,0.4137925604172427
