split_index,pairwise_C,hypergraph_C,hyper_flag_C,hyper_recip_C,hb_graph_C
1,100.0,1e-05,1e-05,0.01,1e-05
2,1000.0,0.0001,0.0001,0.01,0.0001
3,1000.0,0.0001,0.0001,1e-05,0.0001
4,1000.0,1e-06,1e-06,0.01,0.0001
5,100.0,0.0001,0.0001,1e-05,0.0001
6,10.0,1e-06,1e-05,0.01,0.0001
7,100.0,0.0001,0.001,0.01,0.0001
8,100.0,1e-06,0.0001,1e-06,0.0001
9,1000.0,1e-05,0.0001,0.01,0.0001
10,100.0,0.0001,0.0001,0.01,0.0001
11,100.0,0.0001,0.0001,0.1,0.0001
12,1000.0,0.0001,0.0001,0.0001,0.0001
13,1.0,0.0001,0.001,0.01,0.0001
14,1.0,1e-06,0.0001,0.01,0.0001
15,1000.0,1e-05,1e-05,0.01,1e-05
16,10000.0,0.001,0.001,0.01,0.0001
17,1000.0,1e-05,1e-05,0.01,1e-05
18,1000.0,0.0001,0.0001,0.1,0.0001
19,10.0,1e-06,1e-06,0.01,1e-05
20,1000.0,0.0001,0.0001,0.01,0.0001
21,10.0,1e-06,0.0001,0.01,0.0001
22,10.0,1e-06,1e-05,0.01,0.0001
23,10.0,1e-06,0.0001,1e-05,0.0001
24,100.0,0.0001,0.0001,0.01,0.0001
25,1000.0,1e-06,0.0001,1e-05,0.0001
26,100.0,0.0001,0.001,0.01,0.0001
27,100.0,0.0001,0.0001,0.01,0.0001
28,100.0,1e-06,1e-06,0.01,1e-05
29,10.0,1.0,0.0001,0.01,1e-05
30,10.0,0.0001,0.0001,0.0001,0.0001
31,1000.0,0.0001,0.0001,0.01,0.0001
32,10.0,1e-05,1e-05,0.01,1e-06
33,10.0,0.0001,0.0001,0.0001,0.0001
34,10000.0,1e-06,0.0001,1e-05,0.0001
35,10.0,1e-05,1e-05,0.01,1e-05
36,1.0,0.0001,0.001,0.01,0.0001
37,10.0,0.0001,0.0001,0.01,0.0001
38,1000.0,1e-05,0.0001,0.01,0.0001
39,1.0,0.0001,0.001,0.01,0.0001
40,1000.0,0.0001,0.0001,0.01,0.0001
41,1000.0,0.0001,0.0001,0.01,0.0001
42,10.0,0.0001,0.0001,0.01,0.0001
43,1000.0,1e-06,1e-05,0.01,1e-06
44,1000.0,1e-06,0.0001,0.01,0.0001
45,1.0,0.0001,0.001,0.01,0.0001
46,10.0,0.0001,0.0001,1e-05,0.0001
47,1000.0,1e-05,0.0001,0.01,0.0001
48,1000.0,0.0001,0.0001,0.01,0.0001
49,100.0,0.0001,0.0001,0.01,0.0001
50,1.0,1e-05,1e-05,0.01,0.0001
