split_index,n_train,n_test,train_pos_pct,test_pos_pct,pairwise_pr_auc,pairwise_f1,hypergraph_pr_auc,hypergraph_f1,hyper_flag_pr_auc,hyper_flag_f1,hyper_recip_pr_auc,hyper_recip_f1,hb_graph_pr_auc,hb_graph_f1,pr_auc_diff,f1_diff,stoich_pr_auc_diff,stoich_f1_diff,annot_pr_auc_diff,value_pr_auc_diff,recip_pr_auc_diff,net_recip_pr_auc_diff
1,4051,1071,11.552703036287335,11.57796451914099,0.24132663698725493,0.33090909090909093,0.3933088623539768,0.34385964912280703,0.4255084399947918,0.4418052256532066,0.46037869857385594,0.3489208633093525,0.4464751862230018,0.42755344418052255,0.20514854923574688,0.09664435327143162,0.053166323869025034,0.08369379505771551,0.03219957764081505,0.020966746228209987,0.06706983621987916,-0.01390351235085413
2,4204,918,11.346336822074216,12.527233115468409,0.3271797732472494,0.3421686746987952,0.4292894724068607,0.36971046770601335,0.44252863957861543,0.40782122905027934,0.5656597821219218,0.3991031390134529,0.45327766652789137,0.4192634560906516,0.12609789328064197,0.07709478139185638,0.023988194121030648,0.04955298838463823,0.013239167171754718,0.01074902694927593,0.1363703097150611,-0.11238211559403044
3,4163,959,11.890463607975018,10.114702815432743,0.2537463347816227,0.2909090909090909,0.39491340203709774,0.32905982905982906,0.41922625282800957,0.37714285714285717,0.45917357659974867,0.3383947939262473,0.4313236006895719,0.37606837606837606,0.1775772659079492,0.08515928515928517,0.036410198652474135,0.04700854700854701,0.024312850790911833,0.012097347861562302,0.06426017456265093,-0.027849975910176794
4,4095,1027,11.746031746031745,10.808179162609543,0.23769362474291988,0.345679012345679,0.42772265442304225,0.31315240083507306,0.4536618931661488,0.37572254335260113,0.47196197096856984,0.3674321503131524,0.4516813813165214,0.38922155688622756,0.21398775657360153,0.04354254454054857,0.023958726893479165,0.0760691560511545,0.025939238743106552,-0.0019805118496273866,0.044239316545527596,-0.02028058965204843
5,4161,961,11.511655851958663,11.758584807492195,0.20001911405779615,0.31189083820662766,0.33902138641686813,0.3295711060948081,0.3504357848973741,0.3486238532110092,0.33802007528671296,0.3149284253578732,0.35254447924559945,0.35333333333333333,0.1525253651878033,0.04144249512670567,0.01352309282873132,0.023762227238525224,0.01141439848050596,0.0021086943482253595,-0.0010013111301551691,0.01452440395888649
6,4164,958,11.455331412103746,12.004175365344468,0.26848026452386553,0.34541577825159914,0.41468950514884717,0.36363636363636365,0.456137755503963,0.4046920821114369,0.46359377225384885,0.36363636363636365,0.4834515194214533,0.4,0.21497125489758778,0.054584221748400885,0.06876201427260614,0.036363636363636376,0.041448250355115845,0.027313763917490297,0.048904267105001675,0.019857747167604467
7,4175,947,11.425149700598801,12.143611404435058,0.27259101797037993,0.34237995824634654,0.3295221711515285,0.36585365853658536,0.38612340391043865,0.41818181818181815,0.4391686446595638,0.3920704845814978,0.3883428586877288,0.42592592592592593,0.11575184071734884,0.08354596767957939,0.05882068753620029,0.06007226738934057,0.05660123275891016,0.0022194547772901307,0.1096464735080353,-0.050825785971835014
8,4199,923,11.812336270540605,10.400866738894909,0.23920463027617445,0.2995391705069124,0.2997692466095506,0.3116883116883117,0.3781705104139947,0.3890577507598784,0.3767148120246674,0.3187066974595843,0.3879635082250823,0.3987538940809969,0.14875887794890785,0.09921472357408445,0.08819426161553168,0.08706558239268519,0.07840126380444407,0.009792997811087611,0.07694556541511677,0.01124869620041491
9,4125,997,11.200000000000001,13.039117352056168,0.2506940998129097,0.3502824858757062,0.3987067028009068,0.37890625,0.4608663561008963,0.41935483870967744,0.4866896837001382,0.3657142857142857,0.47394390200003905,0.42857142857142855,0.22324980218712936,0.07828894269572234,0.07523719919913224,0.04966517857142855,0.062159653299989515,0.013077545899142728,0.0879829808992314,-0.012745781700099157
10,4074,1048,11.683848797250858,11.068702290076336,0.28777976829323715,0.31203007518796994,0.3341522417674849,0.32388663967611336,0.38188004655991437,0.39466666666666667,0.4119475031616404,0.3433962264150943,0.39938646674213196,0.39361702127659576,0.11160669844889481,0.08158694608862582,0.06523422497464704,0.0697303816004824,0.04772780479242944,0.017506420182217597,0.07779526139415549,-0.012561036419508453
