model,family,tier,split_index,pr_auc,n_train,n_test,n_features,seed,best_params
LogisticRegression,Linear,pairwise,1,0.40209638538468423,4108,946,4,42,{'clf__C': np.float64(0.0019517224641449498)}
LogisticRegression,Linear,hypergraph,1,0.39731676607035077,4108,946,8,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hb_graph,1,0.3791939841018001,4108,946,14,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,pairwise,2,0.30861279784744644,4088,966,4,42,{'clf__C': np.float64(0.0019517224641449498)}
LogisticRegression,Linear,hypergraph,2,0.33660217022608396,4088,966,8,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hb_graph,2,0.33828169422555376,4088,966,14,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,pairwise,3,0.41966948239765417,3875,1179,4,42,{'clf__C': np.float64(0.0019517224641449498)}
LogisticRegression,Linear,hypergraph,3,0.3815489094707589,3875,1179,8,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hb_graph,3,0.3820570020356054,3875,1179,14,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,pairwise,4,0.5374244325558001,4070,984,4,42,{'clf__C': np.float64(0.0019517224641449498)}
LogisticRegression,Linear,hypergraph,4,0.5716220783571044,4070,984,8,42,{'clf__C': np.float64(0.0019517224641449498)}
LogisticRegression,Linear,hb_graph,4,0.5675658828388398,4070,984,14,42,{'clf__C': np.float64(0.0019517224641449498)}
LogisticRegression,Linear,pairwise,5,0.5068543158880868,4056,998,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,5,0.5375397606182784,4056,998,8,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hb_graph,5,0.5201029371646668,4056,998,14,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,pairwise,6,0.37784064874526163,4052,1002,4,42,{'clf__C': np.float64(0.0019517224641449498)}
LogisticRegression,Linear,hypergraph,6,0.3827740154603355,4052,1002,8,42,{'clf__C': np.float64(0.0019517224641449498)}
LogisticRegression,Linear,hb_graph,6,0.3826878561556656,4052,1002,14,42,{'clf__C': np.float64(0.0019517224641449498)}
LogisticRegression,Linear,pairwise,7,0.42291428221209654,4091,963,4,42,{'clf__C': np.float64(0.0019517224641449498)}
LogisticRegression,Linear,hypergraph,7,0.4679400830444107,4091,963,8,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hb_graph,7,0.46095893741472327,4091,963,14,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,pairwise,8,0.34844804142595426,4090,964,4,42,{'clf__C': np.float64(0.0019517224641449498)}
LogisticRegression,Linear,hypergraph,8,0.3746972871512413,4090,964,8,42,{'clf__C': np.float64(0.001267425589893723)}
