split_index,n_train,n_test,train_dt_pct,test_dt_pct,hypergraph_pr_auc,hypergraph_f1,hyper_nostoich_pr_auc,hyper_nostoich_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff,stoich_pr_auc_diff,stoich_f1_diff
1,4043,1079,11.921840217660154,12.511584800741426,0.48369367401073016,0.44339622641509435,0.4891669890430619,0.4513064133016627,0.20575956321369124,0.25296442687747034,0.2779341107970389,0.190431799537624,-0.005473315032331727,-0.00791018688656836
2,4151,971,12.165743194410986,11.53450051493306,0.5035890096517088,0.42016806722689076,0.49851292633677813,0.4198250728862974,0.23497867944278666,0.24116424116424118,0.26861033020892217,0.17900382606264958,0.005076083314930702,0.0003429943405933722
3,4096,1026,11.62109375,13.742690058479532,0.47624181349201566,0.423841059602649,0.5056471644185945,0.4361948955916473,0.19847195827329284,0.23154362416107382,0.2777698552187228,0.19229743544157518,-0.02940535092657881,-0.012353835988998307
4,4131,991,11.280561607358992,15.237134207870836,0.47213204973342626,0.463519313304721,0.47011952331190293,0.4864864864864865,0.20877542798466903,0.29056603773584905,0.26335662174875724,0.17295327556887197,0.0020125264215233307,-0.0229671731817655
5,4069,1053,12.06684689112804,11.965811965811966,0.47204867990338706,0.38979118329466356,0.4653604658070826,0.3980815347721823,0.17733522100038118,0.19230769230769232,0.2947134589030059,0.19748349098697124,0.0066882140963044345,-0.00829035147751872
6,4124,998,11.784675072744907,13.126252505010019,0.40652606282740333,0.37092731829573933,0.4185368896680566,0.3817204301075269,0.2236713227935699,0.21691176470588236,0.18285474003383342,0.15401555358985697,-0.012010826840653244,-0.010793111811787548
7,4121,1001,12.78815821402572,8.991008991008991,0.4451928422496548,0.3595505617977528,0.4446303430936762,0.36578171091445427,0.24317034497810325,0.20703125,0.20202249727155153,0.1525193117977528,0.0005624991559785575,-0.006231149116701473
8,3979,1143,11.686353355114349,13.298337707786526,0.41901071501087017,0.4439746300211416,0.40493952677935857,0.4444444444444444,0.1951030917111357,0.23739837398373984,0.22390762329973446,0.2065762560374018,0.0140711882315116,-0.00046981442330279455
9,4102,1020,13.066796684544125,7.941176470588235,0.4213407438969644,0.36085626911314983,0.4168400987493554,0.36893203883495146,0.1778503151099332,0.20637898686679174,0.2434904287870312,0.1544772822463581,0.004500645147609006,-0.008075769721801629
10,4073,1049,11.686717407316474,13.44137273593899,0.5060983077605675,0.46511627906976744,0.5024803901181387,0.4720194647201946,0.2317861048710343,0.2600732600732601,0.27431220288953323,0.20504301899650734,0.003617917642428803,-0.0069031856504271905
11,4091,1031,13.321926179418236,6.9835111542192045,0.3858539814946064,0.3323076923076923,0.3918415234749843,0.3416149068322981,0.1541185726091498,0.15384615384615385,0.23173540888545663,0.17846153846153845,-0.005987541980377875,-0.009307214524605811
12,4141,981,11.808741849794735,13.047910295616719,0.5399807081309942,0.4631043256997455,0.5365170259925043,0.483695652173913,0.21741956025290937,0.2831541218637993,0.3225611478780848,0.17995020383594623,0.0034636821384899097,-0.020591326474167504
13,4094,1028,11.553492916463117,14.007782101167315,0.5542719412357011,0.43263757115749524,0.5500783083941654,0.44921875,0.2510497761770087,0.26108374384236455,0.3032221650586924,0.1715538273151307,0.004193632841535733,-0.016581178842504762
14,4017,1105,11.949215832710978,12.39819004524887,0.5337454499120297,0.45454545454545453,0.5308113939369893,0.44711538461538464,0.21293025551371622,0.26258992805755393,0.3208151943983134,0.1919555264879006,0.0029340559750403727,0.007430069930069894
15,4138,984,12.228129531174481,11.28048780487805,0.4838236882314114,0.3844282238442822,0.46805322272662,0.3939393939393939,0.23104413487011394,0.2289156626506024,0.2527795533612975,0.15551256119367982,0.015770465504791442,-0.00951117009511171
