feature,mean,std,median,min,max,n_splits,rank
protein_MedComplexNodes,0.0809252428303979,0.019248664761769382,0.07824594225152443,0.04373228927160837,0.127088190467877,50,1
base_Degree,0.03489674421904936,0.016023106161285168,0.03394003083712705,0.0008576670355011029,0.07740218861432775,50,2
base_TriangleCount,0.025161924291262464,0.013036417988745497,0.025642090897344375,-0.0006373508197877354,0.0512030472407314,50,3
protein_RangeUniqueRatio,0.02482845723552055,0.018785710524601814,0.025891792276809995,-0.0049210968376460495,0.06868644904946955,50,4
protein_RangeComplexNodes,0.011923419051688266,0.009906647646920501,0.013366133996290044,-0.00825671524061548,0.03706687689297155,50,5
base_LocalClustCoeff,0.01140715450792831,0.009204232399158017,0.011082992478330365,-0.003920456446896742,0.033208507174526246,50,6
stoich_MedianRatio,0.01087213762433104,0.02153567299251106,0.012452562378626431,-0.03999216674818727,0.05089323708536066,50,7
base_AvgNeighbourDegree,0.00988627782729778,0.009003266279792423,0.010428644124366164,-0.013354065023210881,0.03260609443566614,50,8
base_UniquePartners,1.6083355738845572e-05,0.007887411352653898,0.002161109483629059,-0.01851557556191493,0.012992816810451741,50,9
stoich_RangeComplexSize,-3.0118474739735498e-05,0.00217561198410348,0.00022612620203223688,-0.008320469414986858,0.007473124826759802,50,10
stoich_WeightedTriangles,-7.369894176898648e-05,0.002521623857511793,0.00047491985169410557,-0.008032304818168235,0.004778719629906708,50,11
stoich_RangeRatio,-0.00041553888941870385,0.0015731200795533306,-7.719100033058979e-05,-0.004767085570144408,0.003362849948382407,50,12
stoich_AvgNeighbourDegreeStoich,-0.0011825084443305323,0.002908398553026988,-0.0009863442139199207,-0.008623312582964388,0.00624024701809951,50,13
stoich_MedComplexSize,-0.005134400836100541,0.01535199110011348,-0.004436907706805904,-0.04308746905222074,0.030494754355154585,50,14
