split_index,n_train,n_test,train_ess_pct,test_ess_pct,hypergraph_pr_auc,hypergraph_f1,hyper_nostoich_pr_auc,hyper_nostoich_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff,stoich_pr_auc_diff,stoich_f1_diff
1,3986,1068,17.41093828399398,17.04119850187266,0.32289207794290975,0.4073455759599332,0.3247498920342874,0.40947546531302875,0.3045872645406795,0.34726688102893893,0.018304813402230224,0.06007869493099427,-0.0018578140913776409,-0.0021298893530955487
2,4108,946,16.893865628042843,19.23890063424947,0.6182326289281925,0.5425742574257426,0.6058605339920582,0.5433070866141733,0.5906516240224582,0.5333333333333333,0.02758100490573434,0.009240924092409286,0.012372094936134337,-0.0007328291884306504
3,4031,1023,16.745224510047134,19.64809384164223,0.34797258172380724,0.43243243243243246,0.36869645158760306,0.4391025641025641,0.31935829142320965,0.3362218370883882,0.02861429030059759,0.09621059534404425,-0.02072386986379582,-0.00667013167013164
4,4075,979,17.693251533742334,15.832482124616956,0.5049566740232632,0.5071090047393365,0.5152938987599244,0.5071090047393365,0.40174295295148216,0.4397163120567376,0.103213721071781,0.0673926926825989,-0.01033722473666121,0.0
5,4024,1030,18.389662027833,13.203883495145632,0.37092975527001565,0.4328018223234624,0.3732843608941092,0.4318181818181818,0.3049718333860755,0.3640897755610973,0.06595792188394017,0.06871204676236514,-0.0023546056240935642,0.000983640505280603
6,4110,944,17.104622871046228,18.326271186440678,0.41902919866392285,0.45213849287169044,0.4229614856056306,0.45585215605749485,0.35892302634266743,0.4008097165991903,0.060106172321255424,0.051328776272500154,-0.003932286941707774,-0.0037136631858044056
7,4170,884,17.074340527577938,18.552036199095024,0.6099494840847334,0.5427350427350427,0.6166054893536893,0.5387931034482759,0.5466774087628244,0.48769574944071586,0.06327207532190893,0.05503929329432683,-0.0066560052689559335,0.003941939286766782
8,3931,1123,16.89137624014246,18.8780053428317,0.5003159451247223,0.486013986013986,0.5018182705790944,0.4825174825174825,0.4632421544031019,0.4384,0.037073790721620425,0.047613986013985976,-0.001502325454372122,0.003496503496503489
9,4047,1007,15.048183839881393,26.514399205561073,0.6279773011152259,0.5581395348837209,0.6356204288366417,0.5625,0.5809305365279349,0.5203679369250985,0.04704676458729096,0.037771597958622394,-0.007643127721415843,-0.0043604651162790775
10,4016,1038,17.15637450199203,18.015414258188827,0.4529535841243575,0.4963235294117647,0.47685682043751776,0.5055350553505535,0.44242945450899884,0.41952983725135623,0.010524129615358646,0.07679369216040849,-0.02390323631316027,-0.009211525938788823
11,4044,1010,15.702274975272006,23.86138613861386,0.6025604294700011,0.5493171471927162,0.5964353663084125,0.5509893455098934,0.5751784239264313,0.5022026431718062,0.027382005543569843,0.04711450402091,0.006125063161588562,-0.0016721983171772425
12,3843,1211,18.13687223523289,14.781172584640792,0.45625074761371553,0.44142614601018676,0.457957246512799,0.4489795918367347,0.3991358823902476,0.384,0.057114865223467925,0.05742614601018675,-0.001706498899083475,-0.007553445826547933
13,4032,1022,17.782738095238095,15.557729941291583,0.4469971040576328,0.48291571753986334,0.4470103610854466,0.4874715261958998,0.4127662538032892,0.43186582809224316,0.03423085025434364,0.05104988944762018,-1.3257027813795563e-05,-0.004555808656036442
14,4168,886,17.85028790786948,14.89841986455982,0.44862589805796377,0.48258706467661694,0.45006285596852924,0.4797979797979798,0.33481070580731825,0.3940149625935162,0.11381519225064551,0.08857210208310073,-0.0014369579105654728,0.0027890848786371603
15,4019,1035,17.666086091067427,16.03864734299517,0.44403321421692876,0.45147679324894513,0.43752035174688053,0.4530612244897959,0.3736089456018649,0.4029574861367837,0.07042426861506385,0.0485193071121614,0.006512862470048231,-0.001584431240850781
