feature,mean,std,median,min,max,n_splits,rank
base_TriangleCount,0.0878769576708732,0.028338080193710872,0.0851604519694232,0.033361225912250686,0.13405819191112728,15,1
protein_MedianUniqueRatio,0.0505095527690316,0.01764543150262233,0.048799276308206636,0.019452247215442975,0.08690761646914816,15,2
base_AvgNeighbourDegree,0.045792048739016204,0.02451533308830723,0.042463950887143255,0.015949370539804813,0.11597541384728163,15,3
protein_RangeComplexNodes,0.034092682509072124,0.024379706542337086,0.02766130191361522,-0.0025823910686025965,0.08164209712093835,15,4
base_UniquePartners,0.029114477753970986,0.021309299859442472,0.024403861597913322,-0.00021455683293099547,0.07607169312611387,15,5
protein_MedComplexNodes,0.028595099314175112,0.012824710121724469,0.028615120173865506,0.003911386109436377,0.05557669127179081,15,6
base_Degree,0.01619574311211299,0.009089758320158658,0.013760369010511786,0.001049242751502033,0.03309036049434492,15,7
protein_RangeUniqueRatio,0.013937232577335439,0.008634492741669423,0.016096598042995524,-0.005875982490570331,0.030729480943164755,15,8
base_LocalClustCoeff,0.00839547525242707,0.0075159253561828876,0.007036598059822485,-0.004552008196296642,0.023062908495310223,15,9
stoich_AvgNeighbourDegreeStoich,0.001412826746265279,0.0009106157906210882,0.0015029223753554477,0.00013308408573248776,0.0027888073119627876,15,10
stoich_MedianRatio,0.0009033822567305105,0.0015013426302138229,0.0008145335977573165,-0.0010452220492046416,0.0040996417881268895,15,11
stoich_WeightedTriangles,0.0004340304928863274,0.0006686588545609872,0.000360990397922667,-0.0008859619813467168,0.0016096413115384456,15,12
stoich_MedComplexSize,0.00016394245921309445,0.000865857695311899,0.00023692846834555414,-0.0014342433154380329,0.0018876236894604214,15,13
