feature,mean,std,median,min,max,n_splits,rank
base_TriangleCount,0.07160872168563687,0.021161475816814174,0.06563374884887652,0.026535560052670815,0.11254587718257536,15,1
protein_MedianUniqueRatio,0.05060203930765043,0.014438525201103218,0.047167975238631046,0.027777884023584293,0.08249525227485892,15,2
base_AvgNeighbourDegree,0.046499644749255414,0.023407030804567384,0.04040414038002421,0.020126715119392968,0.11669599274816563,15,3
protein_MedComplexNodes,0.032154360394421266,0.012376779620378508,0.03268541248675387,0.014550566058537395,0.06365363202032955,15,4
protein_RangeComplexNodes,0.031946476666209554,0.018151748674028457,0.025344446265642077,0.008156436747415858,0.06949191775565337,15,5
base_UniquePartners,0.02612269683613213,0.01759950104847055,0.02261531524711975,0.00542610784227473,0.06489272005884099,15,6
protein_RangeUniqueRatio,0.017614069945444774,0.008627533976626507,0.01725582244510166,0.001963193543789321,0.033609950511010525,15,7
base_Degree,0.016894454688148826,0.013165339298202643,0.01042847668828042,-0.0016333527353812383,0.04699398985441742,15,8
base_LocalClustCoeff,0.008043352851073491,0.005520752191571672,0.007578261816084675,-0.0019425821411780731,0.019784941127345013,15,9
stoich_MedianRatio,0.001395425795720944,0.001939965141977859,0.0011288358543763755,-0.001086731065479285,0.0063685394337578746,15,10
stoich_AvgNeighbourDegreeStoich,0.0011772502320940576,0.001614692526416229,0.001389544807004106,-0.002815296960298197,0.003222938253031693,15,11
stoich_WeightedTriangles,0.0006350206453701439,0.0011151567140164037,0.0006613419290470268,-0.0026292038088115087,0.0026283063592849433,15,12
stoich_MedComplexSize,0.0002801343564933752,0.0016042216140405498,0.0005739329608122179,-0.0033357302084296436,0.002778608807058547,15,13
stoich_RangeRatio,-3.898941726926989e-05,0.00020135847458254997,-2.3615678143684702e-06,-0.0005722259208411629,0.0002243413509631198,15,14
stoich_RangeComplexSize,-7.518956750328581e-05,0.0002977942279125607,9.529136793617888e-06,-0.0010246905338066382,0.0002469099399031227,15,15
