split_index,n_train,n_test,train_ess_pct,test_ess_pct,hypergraph_pr_auc,hypergraph_f1,hyper_nostoich_pr_auc,hyper_nostoich_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff,stoich_pr_auc_diff,stoich_f1_diff
1,3986,1068,17.41093828399398,17.04119850187266,0.3526106064439317,0.41836734693877553,0.358018768637976,0.4,0.3092249687702563,0.36908517350157727,0.043385637673675426,0.04928217343719826,-0.005408162194044275,0.01836734693877551
2,4108,946,16.893865628042843,19.23890063424947,0.6363065751687975,0.5411764705882353,0.6279409218790666,0.5476190476190477,0.6192288769779988,0.5178236397748592,0.01707769819079874,0.023352830813376024,0.008365653289730934,-0.006442577030812413
3,4031,1023,16.745224510047134,19.64809384164223,0.41768363505612366,0.43980738362760835,0.4306996686434214,0.4539249146757679,0.3820200163486914,0.4049079754601227,0.03566361870743223,0.03489940816748566,-0.013016033587297748,-0.014117531048159548
4,4075,979,17.693251533742334,15.832482124616956,0.5169774188466723,0.5121951219512195,0.5182205005404092,0.5106382978723404,0.5065192686616166,0.47685185185185186,0.010458150185055692,0.03534327009936766,-0.0012430816937369915,0.0015568240788791377
5,4024,1030,18.389662027833,13.203883495145632,0.4081592377644145,0.4372093023255814,0.401038421092506,0.43661971830985913,0.3381836038132414,0.40522875816993464,0.06997563395117307,0.03198054415564677,0.007120816671908503,0.0005895840157222887
6,4110,944,17.104622871046228,18.326271186440678,0.44936540414110016,0.4602510460251046,0.43743762696388,0.4612159329140461,0.42230609763351823,0.4196078431372549,0.027059306507581926,0.04064320288784967,0.011927777177220156,-0.0009648868889415296
7,4170,884,17.074340527577938,18.552036199095024,0.6444954315414384,0.5426695842450766,0.6380838089697497,0.5521739130434783,0.5965784431688685,0.4909456740442656,0.04791698837256986,0.05172391020081102,0.006411622571688702,-0.009504328798401684
8,3931,1123,16.89137624014246,18.8780053428317,0.5055822933228945,0.48677248677248675,0.5163093200834297,0.48201438848920863,0.4661295681036687,0.4618055555555556,0.039452725219225826,0.024966931216931165,-0.010727026760535163,0.004758098283278112
9,4047,1007,15.048183839881393,26.514399205561073,0.647725360512782,0.5844346549192364,0.6401408871413261,0.5620328849028401,0.6078820987380777,0.5553956834532374,0.03984326177470421,0.029038971465998986,0.0075844733714558465,0.022401770016396316
10,4016,1038,17.15637450199203,18.015414258188827,0.5613615500205287,0.5081669691470054,0.5753385165814404,0.5534591194968553,0.5222879333630239,0.4843205574912892,0.03907361665750475,0.023846411655716215,-0.013976966560911741,-0.0452921503498499
11,4044,1010,15.702274975272006,23.86138613861386,0.6129705482813463,0.5526717557251909,0.6009219187049399,0.5482388973966309,0.5985888766990356,0.5387994143484627,0.01438167158231074,0.013872341376728214,0.0120486295764064,0.0044328583285599965
12,3843,1211,18.13687223523289,14.781172584640792,0.4602867039660019,0.4478632478632479,0.46118962112361234,0.45753899480069327,0.4128792742223821,0.41127694859038144,0.04740742974361983,0.03658629927286644,-0.0009029171576104278,-0.009675746937445384
13,4032,1022,17.782738095238095,15.557729941291583,0.4760827207808043,0.4909090909090909,0.4771878771619644,0.4930875576036866,0.4883177032445878,0.464,-0.012234982463783461,0.026909090909090883,-0.0011051563811600995,-0.0021784666945957043
14,4168,886,17.85028790786948,14.89841986455982,0.47863667822302414,0.48866498740554154,0.4645360660399457,0.49230769230769234,0.42432231935760184,0.4507042253521127,0.054314358865422296,0.037960762053428854,0.014100612183078454,-0.003642704902150795
15,4019,1035,17.666086091067427,16.03864734299517,0.4585308462090038,0.45322245322245325,0.45978613554738373,0.4721030042918455,0.41009511841950336,0.4107485604606526,0.04843572778950045,0.042473892761800636,-0.001255289338379928,-0.018880551069392237
