feature,mean,std,median,min,max,n_splits,rank
protein_MedianUniqueRatio,0.04287910792223546,0.018841496244171783,0.046030577875399006,0.004883514542500444,0.0687240969899389,15,1
protein_MedComplexNodes,0.03506002990483646,0.015963824854014645,0.04263939016917474,0.0017950972918731102,0.05384996792348325,15,2
base_Degree,0.020897416189415763,0.014940702874469768,0.014641236579559458,0.0008013507316339596,0.04717882074676336,15,3
protein_RangeUniqueRatio,0.016040084152302854,0.01619316632749779,0.014714680904035332,-0.021587726386002475,0.04073676140711895,15,4
base_TriangleCount,0.01112622153856284,0.014026364539324732,0.00668896750984167,-0.009467594868954154,0.03509912995223392,15,5
base_LocalClustCoeff,0.008658851987618937,0.008684733073785015,0.009190918967962768,-0.006173219127767704,0.021358651419696516,15,6
protein_RangeComplexNodes,0.008255534859267067,0.01292025538302891,0.009226537430952286,-0.015530928399835576,0.035312731573674414,15,7
base_AvgNeighbourDegree,0.0054213035086737894,0.011030918867284257,0.006903804485151066,-0.01876395830734316,0.024321886907451858,15,8
stoich_MedianRatio,0.003702961259383193,0.019040419089208213,0.005552960092268388,-0.030588307368257524,0.03642796771951743,15,9
stoich_MedComplexSize,0.0025292434206226565,0.01521509030666212,0.007522708438400938,-0.02460197586852105,0.028480012590485836,15,10
base_UniquePartners,0.0015533343810591879,0.009756581823877664,0.0015897057477832766,-0.023036821452947092,0.01612438913885819,15,11
stoich_WeightedTriangles,0.00028024306061591654,0.00179210959507801,0.0009422977043808178,-0.0026952160970327155,0.003153099858295705,15,12
stoich_RangeComplexSize,0.00021444434984256987,0.0019033528365493902,-0.0006815908381570451,-0.0032582484703283397,0.003256770985121682,15,13
stoich_RangeRatio,-0.00032184532202699293,0.0016544395874690217,5.286984929254168e-05,-0.004253994194814631,0.002490724280113199,15,14
stoich_AvgNeighbourDegreeStoich,-0.0020941025854276938,0.002928242074131014,-0.001972737373705602,-0.007192260915186671,0.003755200697119887,15,15
