feature,n_splits,n_confirmed,n_tentative,n_rejected,confirmation_rate,mean_rank,feature_set
pair_AvgNeighborDegree,15,15,0,0,1.0,1.0,pairwise
pair_Degree,15,15,0,0,1.0,1.0,pairwise
pair_LocalClustCoeff,15,15,0,0,1.0,1.0,pairwise
pair_TriangleCount,15,15,0,0,1.0,1.0,pairwise
base_AvgNeighbourDegree,15,15,0,0,1.0,1.0,hypergraph
base_LocalClustCoeff,15,15,0,0,1.0,1.0,hypergraph
base_TriangleCount,15,15,0,0,1.0,1.0,hypergraph
base_UniquePartners,15,15,0,0,1.0,1.0,hypergraph
protein_MedComplexNodes,15,15,0,0,1.0,1.0,hypergraph
protein_MedianUniqueRatio,15,15,0,0,1.0,1.0,hypergraph
protein_RangeComplexNodes,15,15,0,0,1.0,1.0,hypergraph
protein_RangeUniqueRatio,15,15,0,0,1.0,1.0,hypergraph
base_Degree,15,14,1,0,0.9333333333333333,1.0666666666666667,hypergraph
stoich_MedianRatio,15,0,0,15,0.0,2.3333333333333335,hypergraph
stoich_MedComplexSize,15,0,0,15,0.0,2.7333333333333334,hypergraph
stoich_WeightedTriangles,15,0,0,15,0.0,4.0,hypergraph
stoich_AvgNeighbourDegreeStoich,15,0,0,15,0.0,4.933333333333334,hypergraph
stoich_RangeRatio,15,0,0,15,0.0,6.133333333333334,hypergraph
stoich_RangeComplexSize,15,0,0,15,0.0,6.8,hypergraph
