feature,mean,std,median,n,is_noise
base_TriangleCount,0.06518017175288782,0.02531159599686015,0.06315949269542237,150,False
protein_MedianUniqueRatio,0.048438005982042606,0.016209431204562662,0.04959339608235842,150,False
base_AvgNeighbourDegree,0.037015480778854686,0.018858632112072064,0.03460916587083839,150,False
protein_MedComplexNodes,0.03271400230589408,0.015158250866814502,0.03007344991266509,150,False
base_UniquePartners,0.026221126263592996,0.018803858440439993,0.019915724100824282,150,False
protein_RangeComplexNodes,0.02234226847837314,0.017976325579366154,0.018374031787091294,150,False
base_Degree,0.021382087158794204,0.012605072580197723,0.0176725181197522,150,False
protein_RangeUniqueRatio,0.013190412358184257,0.009888719918433517,0.011441420968201938,150,False
base_LocalClustCoeff,0.007748745291783102,0.006502673183634207,0.00705012471532288,150,False
stoich_MedianRatio,0.0011173352993492443,0.0015922430873428054,0.0008204835824149936,150,False
stoich_AvgNeighbourDegreeStoich,0.0007732538456662063,0.00105388281608958,0.0007137691634358039,150,False
stoich_WeightedTriangles,0.0003336151766975595,0.0006981735033860081,0.00034633366889859075,150,False
stoich_MedComplexSize,0.00016451780835567546,0.0010241912954476894,0.00026282390729074343,150,False
stoich_RangeComplexSize,-2.2907185355726518e-05,0.00011686000308674466,0.0,150,False
stoich_RangeRatio,-3.865654338286069e-05,0.00015357406607043148,0.0,150,False
[noise × 5],5.492100352655009e-05,0.002266199509728031,8.756458354632624e-05,750,True
rand_0,0.0001959678538825965,0.0021173477040711563,0.00031066837929737416,150,True
rand_1,-0.00011276370124327286,0.0022824271940871757,-6.53076163291355e-05,150,True
rand_2,6.115450082305239e-05,0.0021284219413298484,0.00017998548401456927,150,True
rand_3,-7.203021666035964e-05,0.002501777404384839,-0.00010461135643741737,150,True
rand_4,0.00020227658083073414,0.0022606888867382174,1.0238618527091957e-05,150,True
