feature,mean,std,median,n,is_noise
pair_TriangleCount,0.16140275666526424,0.04911476169871287,0.1612649483629238,150,False
pair_Degree,0.05434431378134041,0.02799544479802878,0.050656600154226225,150,False
pair_AvgNeighborDegree,0.04816437754539939,0.032114706859002355,0.04007130087380244,150,False
pair_LocalClustCoeff,0.03243827127785661,0.01579539441361374,0.032218828404516404,150,False
[noise × 5],1.3759412517529545e-05,0.004461185904632098,-0.00012812833957640267,750,True
rand_0,0.00022317913709266445,0.004382888919983546,-0.00010544047554969239,150,True
rand_1,-0.00032287552195478395,0.004842534543252096,-0.00043527248728426063,150,True
rand_2,0.00040377283855118405,0.0042897656262439144,0.00044174430935836617,150,True
rand_3,-0.00021578134877085252,0.004730832626586278,0.00014653542281165555,150,True
rand_4,-1.9498042330564623e-05,0.003962964878727609,-0.0004279138418762818,150,True
