database,task,model,arm,feature,rank,mean_imp,std_imp,hit_rate,binom_p
corum,ess,RandomForest,hyper,base_TriangleCount,1,0.07500883913936462,0.024010432150478416,1.0,1.401298464324817e-45
corum,ess,RandomForest,hyper,protein_MedianUniqueRatio,2,0.04852837891873456,0.015288131538954591,1.0,1.401298464324817e-45
corum,ess,RandomForest,hyper,base_AvgNeighbourDegree,3,0.04198726579010664,0.023261112126439873,1.0,1.401298464324817e-45
corum,ess,RandomForest,hyper,protein_MedComplexNodes,4,0.03152479748989132,0.013335834395759411,1.0,1.401298464324817e-45
corum,ess,RandomForest,hyper,protein_RangeComplexNodes,5,0.026166315231797483,0.017776682587769845,0.96,2.08925524731209e-35
corum,ess,RandomForest,hyper,base_UniquePartners,6,0.024761800120949935,0.01934042121325681,0.9266666666666666,2.2621587335491238e-29
corum,ess,RandomForest,hyper,base_Degree,7,0.01589984122706247,0.009745721781067727,0.98,7.884069497892145e-40
corum,ess,RandomForest,hyper,protein_RangeUniqueRatio,8,0.014194129357757799,0.010261230634420991,0.8933333333333333,2.1755247260990872e-24
corum,ess,RandomForest,hyper,base_LocalClustCoeff,9,0.008355392502084153,0.008848346007907586,0.8266666666666667,1.6591295608044e-16
corum,ess,RandomForest,hyper,stoich_MedianRatio,10,0.0009016737593503832,0.0014723249677256293,0.26666666666666666,9.56282907771787e-09
corum,ess,RandomForest,hyper,stoich_AvgNeighbourDegreeStoich,11,0.0008539486772286446,0.0010292372870836983,0.23333333333333334,3.768666600087516e-11
corum,ess,RandomForest,hyper,stoich_WeightedTriangles,13,0.0003534706316320277,0.0008601914707903892,0.13333333333333333,5.9947295585608996e-21
corum,ess,RandomForest,hyper,stoich_MedComplexSize,15,8.687561811360575e-05,0.0010531214078736777,0.12,1.2913641527344654e-22
corum,ess,RandomForest,hyper,stoich_RangeRatio,17,-1.8420443419084626e-05,0.00011638933087281595,0.08,2.642343883518912e-28
corum,ess,RandomForest,hyper,stoich_RangeComplexSize,18,-3.694722648652534e-05,0.0001839404532544487,0.09333333333333334,2.7927572561866964e-26
corum,ess,RandomForest,pair,pair_TriangleCount,1,0.13595284481811,0.046428193350722374,1.0,1.401298464324817e-45
corum,ess,RandomForest,pair,pair_Degree,2,0.059640830475538496,0.027776102412549797,0.9933333333333333,2.1159606811304738e-43
corum,ess,RandomForest,pair,pair_AvgNeighborDegree,3,0.042324309176952304,0.029656457505386057,0.9666666666666667,8.581873127276034e-37
corum,ess,RandomForest,pair,pair_LocalClustCoeff,4,0.034307721383853323,0.014277769606495124,1.0,1.401298464324817e-45
