split_index,n_train,n_test,train_ess_pct,test_ess_pct,pairwise_pr_auc,pairwise_f1,hypergraph_pr_auc,hypergraph_f1,hyper_flag_pr_auc,hyper_flag_f1,hb_graph_pr_auc,hb_graph_f1,pr_auc_diff,f1_diff,stoich_pr_auc_diff,stoich_f1_diff,annot_pr_auc_diff,value_pr_auc_diff
1,4051,1071,11.552703036287335,11.57796451914099,0.3591192929050942,0.35946462715105165,0.4535878781970445,0.3930885529157667,0.4773158669774604,0.46616541353383456,0.4753223720617249,0.4791666666666667,0.1162030791566307,0.11970203951561503,0.021734493864680404,0.08607811375089996,0.023727988780415932,-0.0019934949157355275
2,4204,918,11.346336822074216,12.527233115468409,0.3564537028229439,0.3431372549019608,0.519229712190903,0.42990654205607476,0.522121050859315,0.4246153846153846,0.49431926763634354,0.425531914893617,0.13786556481339962,0.08239465999165624,-0.02491044455455943,-0.004374627162457734,0.002891338668412069,-0.0278017832229715
3,4163,959,11.890463607975018,10.114702815432743,0.2660455043535976,0.29767441860465116,0.3820994695571366,0.3730886850152905,0.3973951815874451,0.3685800604229607,0.34647536658277456,0.37462235649546827,0.08042986222917697,0.07694793789081711,-0.035624102974362026,0.0015336714801777451,0.015295712030308495,-0.05091981500467052
4,4095,1027,11.746031746031745,10.808179162609543,0.3314502717025938,0.34309623430962344,0.4337386370026373,0.3682983682983683,0.4265112216787493,0.4289544235924933,0.42544459022123937,0.44,0.09399431851864559,0.09690376569037656,-0.008294046781397946,0.07170163170163169,-0.007227415323888042,-0.0010666314575099034
5,4161,961,11.511655851958663,11.758584807492195,0.2611172706084049,0.33126293995859213,0.38472022048551036,0.36036036036036034,0.3763582960765767,0.36990595611285265,0.35704962364863463,0.37735849056603776,0.09593235304022973,0.046095550607445634,-0.027670596836875727,0.01699813020567742,-0.00836192440893363,-0.019308672427942097
6,4164,958,11.455331412103746,12.004175365344468,0.3039431967407184,0.3623529411764706,0.45884978075725813,0.40816326530612246,0.47732203526058276,0.4280936454849498,0.4730765787621772,0.4131147540983607,0.16913338202145878,0.05076181292189008,0.01422679800491905,0.004951488792238223,0.018472254503324625,-0.004245456498405575
7,4175,947,11.425149700598801,12.143611404435058,0.41341191292252544,0.3698630136986301,0.4719141471496016,0.4810126582278481,0.4698687045433495,0.4648318042813456,0.47668346486257357,0.48231511254019294,0.06327155194004813,0.11245209884156282,0.004769317712971954,0.0013024543123448251,-0.0020454426062521125,0.006814760319224067
8,4199,923,11.812336270540605,10.400866738894909,0.2912483321461283,0.3062645011600928,0.43682606885255276,0.3508771929824561,0.45205450417355947,0.37058823529411766,0.4510660820640269,0.3829787234042553,0.1598177499178986,0.07671422224416252,0.014240013211474112,0.032101530421799196,0.015228435321006706,-0.000988422109532594
9,4125,997,11.200000000000001,13.039117352056168,0.3334135193898051,0.35968379446640314,0.46036517709582575,0.4017857142857143,0.47394045227036097,0.4388888888888889,0.45560993037618963,0.4444444444444444,0.12219641098638451,0.08476064997804128,-0.004755246719636119,0.04265873015873012,0.013575275174535217,-0.018330521894171337
10,4074,1048,11.683848797250858,11.068702290076336,0.312108380776138,0.3143939393939394,0.4156661587767335,0.38213399503722084,0.4470068949755768,0.4040920716112532,0.44865691707316596,0.4072164948453608,0.13654853629702796,0.09282255545142143,0.03299075829643244,0.02508249980813998,0.031340736198843255,0.0016500220975891877
11,4079,1043,11.473400343221378,11.888782358581016,0.3600113870697257,0.3772819472616633,0.4103473502943319,0.4267352185089974,0.41506124815810064,0.44554455445544555,0.397498589148792,0.4533333333333333,0.037487202079066306,0.07605138607167,-0.0128487611455399,0.026598114824335883,0.004713897863768746,-0.017562659009308645
12,4033,1089,11.306719563600298,12.48852157943067,0.34158775686303733,0.3657587548638132,0.4447334676860507,0.4233576642335766,0.4440074407846338,0.44387755102040816,0.4380611213842626,0.45714285714285713,0.09647336452122529,0.09138410227904392,-0.00667234630178809,0.033785192909280504,-0.0007260269014169318,-0.005946319400371158
13,4082,1040,11.195492405683488,12.980769230769232,0.4083465521376478,0.38010657193605685,0.5175671769500867,0.4719626168224299,0.5327289543852252,0.4883720930232558,0.5102296817785712,0.47255369928400953,0.10188312964092339,0.09244712734795268,-0.007337495171515496,0.0005910824615796284,0.015161777435138468,-0.022499272606653964
14,4124,998,11.469447138700291,11.923847695390782,0.31431790022533534,0.3514644351464435,0.43083643984781717,0.3717277486910995,0.4323626927392827,0.38227146814404434,0.4070786265192031,0.3814713896457766,0.09276072629386778,0.030006954499333105,-0.02375781332861404,0.009743640954677113,0.0015262528914655182,-0.02528406622007956
15,4087,1035,11.328602887203328,12.46376811594203,0.33961119220625174,0.3281519861830743,0.41771875833504035,0.3473282442748092,0.42884538032987246,0.4191343963553531,0.42280091921617036,0.4188235294117647,0.08318972700991861,0.09067154322869042,0.0050821608811300045,0.07149528513695552,0.011126621994832109,-0.006044461113702104
16,3987,1135,11.687985954351642,11.101321585903083,0.32467960735112567,0.32786885245901637,0.362628369029234,0.35853131749460043,0.3467604759478264,0.42613636363636365,0.33345386422605,0.43103448275862066,0.008774256874924335,0.1031656302996043,-0.02917450480318401,0.07250316526402023,-0.015867893081407625,-0.013306611721776385
