feature,mean,std,median,min,max,n_splits,rank
protein_MedComplexNodes,0.1792053410919468,0.03462981380091204,0.1744949497536502,0.1074029248914854,0.2944878693900648,50,1
base_Degree,0.10149369398619282,0.030489099380841114,0.10308187883647987,0.03848465934843342,0.17959808719446052,50,2
protein_RangeUniqueRatio,0.027202926586452836,0.024135556963176655,0.02160856039632435,-0.015367645279516085,0.10877073567356263,50,3
base_AvgNeighbourDegree,0.022460068078857098,0.014219086653815282,0.022741432608255063,-0.006082569867301735,0.056970675206307095,50,4
base_TriangleCount,0.012143440451994185,0.018562781464767805,0.008803863153790146,-0.008982256570052949,0.10824889607821933,50,5
stoich_MedComplexSize,0.008963764849700821,0.019411493835703873,0.0037102290309033916,-0.021882210775192906,0.05661849868744238,50,6
protein_RangeComplexNodes,0.005739173610417151,0.007857725743465218,0.004187497356008932,-0.010368919339279126,0.038622255946147335,50,7
base_UniquePartners,0.005400756334988651,0.011566522752193166,0.005946549304311735,-0.03508601636768796,0.02856066535815115,50,8
base_LocalClustCoeff,0.004179068721922972,0.010190136023230326,0.0025431750974029,-0.019034016438770972,0.031676176910999075,50,9
stoich_WeightedTriangles,0.0008230776149067142,0.002402764121041552,0.0006860171181534147,-0.004913559056464812,0.006120875678245608,50,10
stoich_MedianRatio,0.0004852904372614366,0.016424376019420456,0.0009473495067423565,-0.03479372437712674,0.03797382155649261,50,11
stoich_AvgNeighbourDegreeStoich,0.00023105330883377398,0.00275221200869538,0.0009626286764446129,-0.008667007361244799,0.004253153000610477,50,12
stoich_RangeComplexSize,6.032707635095458e-05,0.0007734655180061937,0.0,-0.0023163132018685084,0.00423161998671806,50,13
stoich_RangeRatio,-0.0005481743856428245,0.002796227302543806,0.0,-0.015215234630003132,0.003364090664928698,50,14
