feature,mean,std,median,min,max,n_splits,rank
protein_MedComplexNodes,0.1506037066672533,0.03034372508956092,0.1529459801901944,0.0812524764846605,0.20107465688594975,50,1
base_Degree,0.07612343046066176,0.022222837307428276,0.07563364329392669,0.022417602920270268,0.12856652470804433,50,2
base_TriangleCount,0.022412411728595337,0.014408739060427856,0.01991350423830529,-0.00551171970946443,0.07261647855050715,50,3
base_AvgNeighbourDegree,0.021271398911107076,0.013206283518470493,0.022438445848563124,-0.012918614007412737,0.0494674738632709,50,4
protein_RangeUniqueRatio,0.016426243918509775,0.013477043165046334,0.014135153602211323,-0.023414312939547332,0.04446235593171151,50,5
base_LocalClustCoeff,0.014618864480735478,0.013007533361373804,0.013155967672060485,-0.009641054563514828,0.04078348882285622,50,6
protein_RangeComplexNodes,0.01363025718068507,0.008973045409431649,0.013747909957119641,-0.004288158274812548,0.035545748986821696,50,7
stoich_MedComplexSize,0.002355153498509914,0.016795836006620463,0.0011815519961009269,-0.04670015984220735,0.05842213344158269,50,8
base_UniquePartners,0.0020829250135803797,0.008922254831806083,0.002294413274694587,-0.027487109854662867,0.01827850577578564,50,9
stoich_WeightedTriangles,1.1543729226921716e-05,0.00229320763885106,0.00018579228582240315,-0.0077944973169493835,0.003249868561650315,50,10
stoich_MedianRatio,5.15896277291289e-06,0.021320151300586933,0.002408823705457838,-0.07019733444272074,0.057804208049273685,50,11
stoich_RangeComplexSize,-0.00012753786783226953,0.003511301482544036,0.00033806297206544764,-0.007951168206732112,0.007738712878975406,50,12
stoich_AvgNeighbourDegreeStoich,-0.0006835064491535364,0.0034434783747644073,-0.0003320439639556194,-0.007395225783557768,0.007324844353102639,50,13
stoich_RangeRatio,-0.0013574736481381702,0.0036290079434609804,-0.00015775297614518125,-0.020919216662320585,0.0013283841180964262,50,14
