feature,mean,std,median,min,max,n_splits,rank
protein_MedComplexNodes,0.08474502254268214,0.04035763104448602,0.09615894402441923,0.02940048940140106,0.16041333639090588,15,1
base_Degree,0.0766953177881776,0.025665878830756925,0.07762696491933004,0.03944158089207073,0.12301824958542676,15,2
protein_MedianUniqueRatio,0.05111573398211753,0.04007303747479966,0.04067947844688201,-0.00450503349108577,0.12149317849960806,15,3
protein_RangeComplexNodes,0.043694178060404244,0.017935163147854132,0.044503453462536285,0.01520316632201225,0.07603216060404723,15,4
stoich_MedianRatio,0.003858958405803021,0.023713447376235434,0.008985034779075186,-0.050505100960437165,0.04350589738839243,15,5
base_UniquePartners,0.002441740173237268,0.023293716678269565,0.002901591327996811,-0.050640313629410905,0.0504306081112067,15,6
protein_RangeUniqueRatio,-0.0004801575980845058,0.015870482942509295,0.005648828605054746,-0.030877898167066587,0.028956337759967976,15,7
stoich_RangeRatio,-0.0006713522239036196,0.001397214500996297,-0.00032963801331994393,-0.004398296235288546,0.0017410278412336,15,8
stoich_RangeComplexSize,-0.0011184420003188217,0.0015985922608656774,-0.0006955614500601226,-0.006470201090212036,0.00011715339633278088,15,9
stoich_MedComplexSize,-0.0037297030208103894,0.012374514270382027,-0.0015134609785463992,-0.0270920254276941,0.01472345362235411,15,10
