feature,mean,std,median,min,max,n_splits,rank
protein_MedComplexNodes,0.0967806892866667,0.04238889549468485,0.08191965178592667,0.03430327773147779,0.17189916216293122,15,1
base_Degree,0.08946197491224842,0.026580062609422153,0.0818691967428351,0.053537707220745245,0.14477654509012813,15,2
protein_MedianUniqueRatio,0.05040473922333665,0.02979131951855818,0.049298032748639135,0.008285993335638864,0.12074785250607552,15,3
base_AvgNeighbourDegree,0.01940947036919144,0.014859214055156519,0.017674503611285607,-0.0019123220307079082,0.050122020933864905,15,4
base_TriangleCount,0.01754639893564692,0.021027590561273922,0.012341001368249643,-0.002577394313686926,0.06830284072917582,15,5
protein_RangeComplexNodes,0.016767488818751196,0.009882753287528764,0.01528190919921738,0.001532612739638728,0.03389664139848926,15,6
base_LocalClustCoeff,0.008217842137230045,0.012769246203616247,0.005293974262581302,-0.012347643304851136,0.04019379211318504,15,7
protein_RangeUniqueRatio,0.006664104177073476,0.014659367955483883,0.005923992607200668,-0.01810483340009259,0.040288166132256616,15,8
base_UniquePartners,0.005637598547635017,0.024126617807190172,0.002841449942311991,-0.05341103347843353,0.05204417430529693,15,9
stoich_MedianRatio,0.002702370905091442,0.02113502452014111,0.00017872726865794664,-0.03560887053036703,0.04188788276335209,15,10
stoich_MedComplexSize,0.0013626088611295476,0.01174061845332485,0.0020294957847012797,-0.02226529507450014,0.026534454952627528,15,11
stoich_AvgNeighbourDegreeStoich,-3.5811716639314905e-06,0.001525898202718016,8.332659967794643e-05,-0.0027369762951464983,0.0025072847353598492,15,12
stoich_WeightedTriangles,-0.0005139866191862356,0.0013254905724942663,-0.0002612541796489898,-0.0036215260434461828,0.0010806815464525887,15,13
