split_index,n_train,n_test,train_ess_pct,test_ess_pct,hypergraph_pr_auc,hypergraph_f1,hyper_nostoich_pr_auc,hyper_nostoich_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff,stoich_pr_auc_diff,stoich_f1_diff
1,3986,1068,17.41093828399398,17.04119850187266,0.3139236847897865,0.4083044982698962,0.3107314828392902,0.39378238341968913,0.30362987544788994,0.33943427620632277,0.010293809341896554,0.0688702220635734,0.0031922019504962984,0.014522114850207046
2,4108,946,16.893865628042843,19.23890063424947,0.6022875888549112,0.549407114624506,0.6048480898654964,0.5436507936507936,0.6009182444745763,0.5189393939393939,0.0013693443803348693,0.030467720685112054,-0.0025605010105852477,0.00575632097371237
3,4031,1023,16.745224510047134,19.64809384164223,0.36359966579719505,0.4407894736842105,0.3777476115126597,0.4418604651162791,0.31494035446624347,0.34196891191709844,0.04865931133095158,0.09882056176711207,-0.014147945715464627,-0.0010709914320685687
4,4075,979,17.693251533742334,15.832482124616956,0.4283814970051305,0.4988235294117647,0.4261289754245956,0.4930232558139535,0.36746398494453836,0.4397163120567376,0.06091751206059215,0.05910721735502711,0.0022525215805349053,0.005800273597811212
5,4024,1030,18.389662027833,13.203883495145632,0.37709877355630916,0.4298642533936652,0.38192174231669673,0.4337899543378995,0.30499808291131314,0.3640897755610973,0.07210069064499602,0.0657744778325679,-0.004822968760387569,-0.003925700944234334
6,4110,944,17.104622871046228,18.326271186440678,0.4353259796836325,0.4592901878914405,0.43823498881417394,0.44214876033057854,0.35830745270052083,0.40404040404040403,0.07701852698311168,0.05524978385103646,-0.002909009130541429,0.017141427560861955
7,4170,884,17.074340527577938,18.552036199095024,0.6163542272129494,0.5356371490280778,0.6091512668558078,0.5517241379310345,0.5473694404818071,0.48769574944071586,0.06898478673114228,0.04794139958736193,0.00720296035714163,-0.016086988902956678
8,3931,1123,16.89137624014246,18.8780053428317,0.5028148971278015,0.47942754919499103,0.5041181743165783,0.4856115107913669,0.45377231979254273,0.4370015948963317,0.04904257733525874,0.04242595429865931,-0.0013032771887768746,-0.006183961596375853
9,4047,1007,15.048183839881393,26.514399205561073,0.6418704307769318,0.5590062111801242,0.620765280011778,0.5550387596899224,0.5716373504385981,0.519205298013245,0.07023308033833375,0.03980091316687917,0.021105150765153846,0.003967451490201723
10,4016,1038,17.15637450199203,18.015414258188827,0.47185718370214635,0.49298597194388777,0.47692673041907313,0.501010101010101,0.43086540740819324,0.4236983842010772,0.04099177629395312,0.06928758774281057,-0.005069546716926776,-0.008024129066213248
11,4044,1010,15.702274975272006,23.86138613861386,0.6000654182637241,0.5460218408736349,0.6018002072608124,0.54858934169279,0.5769333369428777,0.4874446085672083,0.02313208132084632,0.05857723230642664,-0.0017347889970883434,-0.002567500819155022
12,3843,1211,18.13687223523289,14.781172584640792,0.4422360281081729,0.44333333333333336,0.4504650670128002,0.4504201680672269,0.3782139581505373,0.3786259541984733,0.0640220699576356,0.06470737913486008,-0.008229038904627284,-0.007086834733893543
13,4032,1022,17.782738095238095,15.557729941291583,0.45969364428904064,0.47139588100686497,0.47379334710778964,0.4748858447488584,0.416533282393601,0.4351464435146444,0.04316036189543965,0.03624943749222059,-0.014099702818749005,-0.0034899637419934515
14,4168,886,17.85028790786948,14.89841986455982,0.44191850246896147,0.47858942065491183,0.4360151871969371,0.47858942065491183,0.3311694115364079,0.39429928741092635,0.11074909093255358,0.08429013324398549,0.0059033152720243676,0.0
15,4019,1035,17.666086091067427,16.03864734299517,0.4294084403053835,0.44776119402985076,0.43037082492878287,0.4520255863539446,0.3644859431688785,0.3939393939393939,0.064922497136505,0.05382180009045684,-0.0009623846233993705,-0.004264392324093813
