feature,mean,std,median,min,max,n_splits,rank
protein_MedianUniqueRatio,0.07749348944887659,0.03561372470278334,0.07682470833243168,0.02029744348053803,0.137393661864661,15,1
base_Degree,0.05658916040306193,0.03602636759056136,0.047014815102241744,0.013624399877449882,0.12778645968752841,15,2
protein_MedComplexNodes,0.03793985587966177,0.033370817170363824,0.037374395039201244,-0.0005728193986421326,0.10956997228286913,15,3
protein_RangeComplexNodes,0.025410147961986262,0.01897173529300413,0.023531682364115875,-0.006419526321345603,0.07057551323382652,15,4
stoich_MedComplexSize,0.006095104019801064,0.017997392687667892,0.004995338956648965,-0.01825378041588229,0.03736039000382776,15,5
protein_RangeUniqueRatio,0.004811173412572018,0.01150080845165437,0.004694049918707382,-0.01598362254067472,0.021917998039037056,15,6
base_UniquePartners,0.0027497430361012676,0.009841357475407174,-0.0003207934671447921,-0.008444057301135243,0.02822602953698044,15,7
stoich_RangeComplexSize,-0.0007614100642662428,0.003543089719978409,-0.0002486837326433677,-0.008050033374695436,0.006284853653515499,15,8
stoich_RangeRatio,-0.002083177934453738,0.004630902347951279,-0.00043943250913225373,-0.011076484148979576,0.007723612479491099,15,9
stoich_MedianRatio,-0.005752353567648581,0.014797654745486229,-0.010722371643956025,-0.03523576433221478,0.02158270126378824,15,10
