feature,mean,std,median,min,max,n_splits,rank
protein_MedianUniqueRatio,0.08531314188037516,0.0366739713409007,0.07301322412453655,0.03713935234603221,0.149363966470846,15,1
base_Degree,0.06331054966530901,0.024187974576136487,0.0591587702799399,0.0332482951298184,0.11598315250296842,15,2
protein_MedComplexNodes,0.03173754171871669,0.025839920118147702,0.0263618591536955,0.007783844075243446,0.1127454520343965,15,3
base_AvgNeighbourDegree,0.016344608591444317,0.009403438154324985,0.019081463831443296,-0.0047632721982712786,0.026992998509986255,15,4
protein_RangeUniqueRatio,0.014881378041417388,0.01356839970437831,0.01169605665362547,-0.0048405383161165385,0.041233013894764546,15,5
base_TriangleCount,0.014349368347144172,0.010983574828910464,0.012610813884398614,-0.0033178392723957006,0.04087101028662475,15,6
base_LocalClustCoeff,0.013564894120642296,0.012982732377285467,0.01870951900475847,-0.012025429486694706,0.02913243720018895,15,7
protein_RangeComplexNodes,0.011521960140534396,0.006992295740556866,0.010658389446594068,-0.0006316374233201582,0.026100968949715288,15,8
stoich_MedComplexSize,0.010236093267278607,0.014457474468499133,0.0069029285601370114,-0.00954347473078065,0.044965307013993025,15,9
base_UniquePartners,0.002883085152225383,0.008037751624543678,0.0007653510071810532,-0.006797217590904852,0.02532258804178647,15,10
stoich_MedianRatio,0.0015446811382079824,0.012792558002585512,-0.00033304713629749293,-0.02472502831168117,0.029180218318569474,15,11
stoich_WeightedTriangles,0.0003054962359122743,0.0014481510338286564,0.00021570545085791704,-0.0026582264201926386,0.002909913743101711,15,12
stoich_AvgNeighbourDegreeStoich,0.00015615769594012508,0.002283370133835975,-0.0003205383981749077,-0.004510558537840553,0.004126634613777563,15,13
stoich_RangeComplexSize,-2.9429498011072802e-05,0.0015914348518629657,2.401358247917651e-05,-0.0026208475478956884,0.0026723729851520993,15,14
stoich_RangeRatio,-0.000990038859705877,0.002667163892669371,-5.637848207787344e-05,-0.008947517808734063,0.002463803324116559,15,15
