feature,mean,std,median,min,max,n_splits,rank
protein_MedComplexNodes,0.18110828909587087,0.04213098824688604,0.17555256422488175,0.1040435999438325,0.2872092777311626,50,1
base_Degree,0.09043139178041608,0.026031886577253856,0.08772069710201377,0.03796023047021551,0.16705621060499942,50,2
base_AvgNeighbourDegree,0.022260983698136262,0.013799999385143742,0.0210401151910648,-0.003878105991036018,0.06026370320207809,50,3
protein_RangeComplexNodes,0.019475983560495066,0.01192732592229406,0.018315172305173787,-0.0005591617732211007,0.053276275592329135,50,4
base_TriangleCount,0.017130576575938514,0.012674301740780413,0.017051525705590487,-0.01823075573739912,0.048535954263738953,50,5
stoich_MedianRatio,0.016259266444126112,0.01785502637500283,0.011123747262401684,-0.013342279434317306,0.07195771562924243,50,6
base_LocalClustCoeff,0.013421199548557033,0.009894032942462768,0.012899235655857263,-0.004586229013523746,0.0415263225834911,50,7
base_UniquePartners,0.009811960137524705,0.013153849773557769,0.006400426603509285,-0.013220860575900833,0.044814570430357366,50,8
protein_RangeUniqueRatio,0.0057888412205548525,0.015962491077146625,0.005204237916922497,-0.04509832723167585,0.03323192175584461,50,9
stoich_MedComplexSize,0.004178945802485673,0.00831267350000859,0.00295077719384951,-0.010662171782357366,0.02552992053217703,50,10
stoich_AvgNeighbourDegreeStoich,0.00010611319327056233,0.001763399211356392,0.00026948597023093994,-0.006554606569755594,0.003625911113533531,50,11
stoich_WeightedTriangles,-1.9283374385119828e-05,0.0010645221941595197,6.28702595409647e-05,-0.005015030667484105,0.0018733333950021636,50,12
stoich_RangeRatio,-7.003846655695432e-05,0.0015347530067904471,-5.3430220685510287e-05,-0.008001974964522162,0.004511915929803279,50,13
stoich_RangeComplexSize,-0.00044491854294509615,0.001187698614841412,-0.00014089635640050224,-0.006402542896514008,0.0011091834951025726,50,14
