feature,mean,std,median,min,max,n_splits,rank
base_TriangleCount,0.22748936237785983,0.057105256060939205,0.2277469934497421,0.09984205397232906,0.3371203011496561,50,1
base_AvgNeighbourDegree,0.09031612571583629,0.03668384420622211,0.08063630797411969,0.034677595552943495,0.17636004705906358,50,2
protein_MedComplexNodes,0.08505914816241585,0.04877931167032508,0.07858226996281692,0.014997897896695334,0.24785925492864985,50,3
base_Degree,0.026773541718391414,0.019763401656456864,0.02089125000768194,0.0031193316916590607,0.11334390006224584,50,4
base_UniquePartners,0.016157278769601095,0.033018483778119424,0.00326195053545914,-0.02299207941170762,0.15658379812317746,50,5
protein_RangeComplexNodes,0.01322124634964741,0.02284123963729501,0.006551532581755526,-0.029376350732650568,0.07927611260526718,50,6
protein_RangeUniqueRatio,0.004919328891161281,0.0063316674620827245,0.005559064666921304,-0.022369958078349628,0.015701188349702265,50,7
base_LocalClustCoeff,0.004819846204342771,0.008139476257499329,0.004052425430839199,-0.018610159811805006,0.028699014883942043,50,8
stoich_AvgNeighbourDegreeStoich,0.0009646711942404622,0.002112253827571652,0.0008513806245258104,-0.004314420630218957,0.009174226570379463,50,9
stoich_WeightedTriangles,0.0006163373493355113,0.0009936158780346766,0.000453619523420945,-0.001961635768301967,0.003314265023464402,50,10
stoich_MedComplexSize,0.0003992004621373478,0.0012068390575359455,0.0004331875671191865,-0.0052460740474791325,0.003179008032418551,50,11
stoich_MedianRatio,4.5567863939018794e-05,0.0011335806589167917,2.874183293988253e-06,-0.0026671268391310564,0.005557544960434424,50,12
stoich_RangeRatio,1.3404025504604177e-07,1.5441204314299021e-06,0.0,-3.550839009824891e-06,1.025285176212698e-05,50,13
stoich_RangeComplexSize,-1.9886677476432797e-06,1.1151893533818722e-05,0.0,-7.470726844324149e-05,5.138547258942694e-06,50,14
