feature,mean,std,median,min,max,n_splits,rank
stoich_MedianRatio,0.0887559142555728,0.032786354731632446,0.0938778077869252,0.031083264142715516,0.14363016105019774,15,1
base_Degree,0.07444695047105276,0.04486215013788397,0.07330553935710489,0.02116434767554326,0.17641760578274526,15,2
base_UniquePartners,0.043493361875161576,0.02369919187498851,0.04096857230228288,0.010991205512871898,0.08401083421297298,15,3
stoich_RangeComplexSize,0.03861026831685896,0.034094712559786244,0.03656260085756205,-0.009394914390018948,0.09512106186989486,15,4
protein_MedianUniqueRatio,0.03798815559513943,0.03366463332846145,0.041224555468087544,-0.025253609092744246,0.09318322480018829,15,5
protein_MedComplexNodes,0.02701061447773778,0.020219087381071157,0.022485546521600015,-0.002865173003108429,0.06817102027702476,15,6
stoich_MedComplexSize,0.024774091697753353,0.028012934296766732,0.02840585869128335,-0.016467977436558402,0.10191790083783799,15,7
stoich_RangeRatio,0.022563400631075224,0.027688902630100713,0.018598204665750306,-0.009879475350806174,0.0882740875534377,15,8
protein_RangeUniqueRatio,0.006955648515426554,0.023223750359662076,0.0035337331321273675,-0.02928567293642522,0.06521011206641453,15,9
protein_RangeComplexNodes,-0.00033274859471955464,0.008672562736071393,-0.00013877981752721257,-0.014253385737935734,0.025960740151296253,15,10
