feature,mean,std,median,min,max,n_splits,rank
stoich_MedianRatio,0.092077836723949,0.05372324806486008,0.08870635322708005,-0.031744683351893885,0.2122477896640068,50,1
base_Degree,0.06580275230302714,0.03918787838114836,0.06025397860935079,-0.014096143110702047,0.1502782697984327,50,2
stoich_RangeComplexSize,0.043922876318073095,0.03231299804615489,0.0410990158370155,-0.022081144857271747,0.10729768366912655,50,3
base_UniquePartners,0.03357150118983753,0.027095337722585947,0.03194005619339588,-0.021809763030527597,0.11984236565840596,50,4
base_AvgNeighbourDegree,0.03231751290001675,0.030391652578802206,0.025961726901575433,-0.027344537533000236,0.10889818643915075,50,5
stoich_MedComplexSize,0.03199624262734189,0.027294548392494504,0.026155895895954084,-0.03258241446026656,0.09115529882752381,50,6
protein_MedComplexNodes,0.031693440604661914,0.024127795683205652,0.0280644350268885,-0.013786313067365006,0.07730399564631574,50,7
stoich_AvgNeighbourDegreeStoich,0.02899363730983662,0.031217245745148968,0.027991282950972307,-0.03865939007287352,0.09599981757164007,50,8
stoich_RangeRatio,0.02675575261746463,0.027708947476182626,0.024546874097807314,-0.021739608514086285,0.10399663321672996,50,9
protein_RangeUniqueRatio,0.021300966245683742,0.023015841732368477,0.01771161491671825,-0.015246405560601523,0.09796305051704199,50,10
stoich_WeightedTriangles,0.01692540904128295,0.023201040062727538,0.019070220705669147,-0.05550152310786442,0.067876327678095,50,11
base_TriangleCount,0.009053521211046637,0.024548911456230123,0.004994481426287107,-0.04423868301052665,0.07580616444562471,50,12
base_LocalClustCoeff,0.003015389510566503,0.01070045468816452,0.0025011610917906697,-0.029497385480872752,0.04177330171722127,50,13
protein_RangeComplexNodes,-2.7764130354382986e-06,0.005637390242473808,-2.6573118426220786e-05,-0.013086448826850578,0.02711679217670439,50,14
